row_index,workflow_history,place_as_recorded,authorized_label,structured_value
1,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.162563Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.478990200Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.829969600Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.166034Z","16th century., Netherlands",Netherlands,http://vocab.getty.edu/tgn/7016845
2,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.173987500Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.480993800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.829969600Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.172694300Z",?,undetermined,http://vocab.getty.edu/tgn/7544559
3,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.174991Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.480993800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.829969600Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.172694300Z",Afghanistan,Afghanistan,http://vocab.getty.edu/tgn/7016612
4,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.174991Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.480993800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.829969600Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.172694300Z","Alsace (France), Alsace, Murbach Abbey",Alsace|France|Murbach,http://vocab.getty.edu/tgn/7024265|http://vocab.getty.edu/tgn/1000070|http://vocab.getty.edu/tgn/7008123
5,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.174991Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.480993800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.829969600Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.172694300Z",Andorra,Andorra,http://vocab.getty.edu/tgn/1000061
6,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.174991Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.480993800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.829969600Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.172694300Z",Armenia,Armenia,http://vocab.getty.edu/tgn/7006651
7,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.174991Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.480993800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.829969600Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.172694300Z",Austria,Austria,http://vocab.getty.edu/tgn/1000062
8,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.174991Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.480993800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.829969600Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.172694300Z",Austria ?,Austria,http://vocab.getty.edu/tgn/1000062
9,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.174991Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.480993800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.829969600Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.172694300Z",Austria or Germany,Austria|Germany,http://vocab.getty.edu/tgn/1000062|http://vocab.getty.edu/tgn/7000084
10,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.174991Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.480993800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.829969600Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.173335Z",Austria or Italy,Austria|Italy,http://vocab.getty.edu/tgn/1000062|http://vocab.getty.edu/tgn/1000080
11,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.174991Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.480993800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.829969600Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.173335Z",Austria or southern Germany,Austria|South Germany,http://vocab.getty.edu/tgn/1000062|http://vocab.getty.edu/tgn/4004316
12,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.174991Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.480993800Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.829969600Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.173335Z","Austria, Austria",Austria,http://vocab.getty.edu/tgn/1000062
13,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.174991Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.481991500Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.829969600Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.173335Z","Austria, Austria (?)",Austria,http://vocab.getty.edu/tgn/1000062
14,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.174991Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.481991500Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.829969600Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.173335Z","Austria, Austria (Gastein)",Austria|Badgastein,http://vocab.getty.edu/tgn/1000062|http://vocab.getty.edu/tgn/1025441
15,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.174991Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.481991500Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.829969600Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.173335Z","Austria, Austria (Waldhausen)",Austria|Waldhausen,http://vocab.getty.edu/tgn/1000062|http://vocab.getty.edu/tgn/8713458
16,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.174991Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.481991500Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.830971200Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.173335Z","Austria, Salzburg",Austria|Salzburg,http://vocab.getty.edu/tgn/1000062|http://vocab.getty.edu/tgn/7003256
17,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.174991Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.481991500Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.830971200Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.173335Z","Austria, Salzburg, Austria (?)",Austria|Salzburg,http://vocab.getty.edu/tgn/1000062|http://vocab.getty.edu/tgn/7003256
18,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.174991Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.481991500Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.830971200Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.173335Z","Austria, Southern Austria",Austria,http://vocab.getty.edu/tgn/1000062
19,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.175987200Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.481991500Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.830971200Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.173335Z","Austria, Tirol",Austria|Tyrol,http://vocab.getty.edu/tgn/1000062|http://vocab.getty.edu/tgn/7003029
20,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-12-19T19:05:53.175987200Z | PLACE RECON, STEP 3: START RECON 2022-12-19T19:06:59.481991500Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-12-20T05:00:54.830971200Z | PLACE RECON, STEP 6: FINALIZED 2022-12-20T05:02:03.173335Z","Austria, Tyrol",Austria|Tyrol,http://vocab.getty.edu/tgn/1000062|http://vocab.getty.edu/tgn/7003029
