name_as_recorded,role,name_agr,source_authority_uri,instance_of,authorized_label,structured_value
Aldobrandino da Siena,author,,,human,Aldobrandino da Siena,Q2832270
Bartholomaeus de S. Concordio (Bartholomaeus Pisanus),author,,,human,Bartholomew of San Concordio,Q3635444
"Carlo Archinto of Milan (1669-1732); Adolph Sutro (1830-1898), mayor of San Francisco. A letter from George Moss (librarian of Sutro) addressed to Mrs. Morbio (presumably Mrs. Albert Morbio, Sutro's daughter), 23 May 1890, accompanies the manuscript.",former owner,,,human;human,Carlo Archinto;Adolph Sutro,Q665628;Q214461
"Carthusians of Buxheim; Hugo, Graf von Waldbott-Bassenhim (his sale, Munich, 20 September 1883, lot 2672); Adolph Sutro (1830-1898), mayor of San Francisco.",former owner,,,organization;human;human,Buxheim Charterhouse;Hugo Philipp Waldbott-Bassenheim;Adolph Sutro,Q460224;Q1682028;Q214461
"In an envelope with the manuscript, the remains of the bookplate of George John Warren Vernon (1803-1866), fifth Baron Veron; CSL accession number 22953.",former owner,,,human,"George Venables-Vernon, 5th Baron Vernon",Q5545476
"Inside front cover: Ex bibliotheca Com. Eq. Fabricii Orsini Rilli di Poppi. N. 263 in a Sotheby sale, ca. 1890 (according to De Ricci); Adolph Sutro (1830-1898), mayor of San Francisco.",former owner,,,human;human,Fabrizio Rilli Orsini;Adolph Sutro,Q87706284;Q214461
Johannes Halgrinus de Abbatisvilla,author,,,human,John Halgren of Abbeville,Q3129519
"Mr. James Orchard Halliwell-Phillips; Adolph Sutro (1830-1898), mayor of San Francisco; bought at Sotheby, Wilkinson & Hodge auction, 1-4 July 1889",former owner,,,human;human,James Halliwell-Phillipps;Adolph Sutro,Q321691;Q214461
"On f. 1, illegilbe even under ultra-violet light due to stain, ""Iste liber est monachorum <?> deputatus monasterii <sancte Marie ?> <?>."" On f. i verso in a modern Italian hand, ""14.6.13"" written over ""A.42000."" Adolph Sutro (1830-1898), mayor of S. F.",former owner,,,human,Adolph Sutro,Q214461
"On f. 121, rubric for St. John the Baptist ""patroni ordinis nostri et ecclesie huius""; Carthusians of Buxheim; in the sale of Hugo, Graf von Waldbott-Bassenheim (Munich, 20 September 1883, lot 2533); Adolph Sutro (1830-1898), mayor of San Francisco.",former owner,,,organization;human;human,Buxheim Charterhouse;Hugo Philipp Waldbott-Bassenheim;Adolph Sutro,Q460224;Q1682028;Q214461
"On ff. 105v, 109v-141v, in margins, notes of the Floriani family, 1591-1702, in areas near Bologna (S. Martino in Argile, S. Lorenzo del Castello di Budrio, Dozza; Budrio); Adolph Sutro (1830-1898), mayor of San Francisco.",former owner,,,organization;human,Floriani family;Adolph Sutro,Q116522686;Q214461
"On front pastedown, pressmark, ""a.37""; bookplate of Victor Albert George Child-Villiers (1845-1915), Earl of Jersey, Osterley Park; clipping from Sotheby's, lot 56; Adolph Sutro (1830-1898), mayor of San Francisco.",former owner,,,human;human,"Victor Child Villiers, 7th Earl of Jersey;Adolph Sutro",Q336737;Q214461
"Ownership notes, mainly illegible, inside front cover, "". . . Ambroggio 1523 ad oct. A<?> ... Salus..."" and "" 692."" De Ricci states that the volume was ""last in Germany."" Adolph Sutro (1830-1898), mayor of San Francisco.",former owner,,,human,Adolph Sutro,Q214461
Pascasius Radbertus,author,,,human,Paschasius Radbertus,Q654858
Peter Damian,author,,,human,Peter Damian,Q258369
Philip Jacob Grangier (1785); CSL assession number 18294.,former owner,,,human,Philip Jacob Grangier,Q116523308
Pseudo Cicero,author,,,human,Pseudo-Cicero,Q67405713
Pseudo Phalaris,author,,,human,Pseudo-Phalaris,Q101173400
"Rosenthal, antiquarian bookdealer in Munich; Adolph Sutro (1830-1898), mayor of San Francisco.",former owner,,,organization;human,Jacques Rosenthal;Adolph Sutro,Q114667678;Q214461
"The dean of Lu""kirch; Carthusians of Buxheim (cf. note on f. i verso), with ""N. 175"" in ink on f. 1 and on the spine; ""386"" also on the spine; Hugo, Graf von Waldbott-Basenheim (Munich, 20 Sept. 1883, lot 2616); Adolph Sutro (1830-1898), mayor of S. F.",former owner,,,human;organization;human;human,Dean of Lukirch;Buxheim Charterhouse;Hugo Philipp Waldbott-Bassenheim;Adolph Sutro,Q116523957;Q460224;Q1682028;Q214461
