title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label
Acts,,,,Acts
Alphabet,,,,
Anthology,,,,Anthology
Antiphonal,,,,Antiphonary
"Antiphonary, Dominican use",,,,Antiphonary
Antiphoner,,,,Antiphonary
"Antiphoner, Gradual",,,,Antiphonary;Gradual
Apocalypse,,,,Apocalypse
Apparatus in quinque libros Decretalium,,,,Apparatus super libros Decretalium
Bible,,,,Bible
"Bible, Atlantic Bible",,,,Bible
"Bible, N.T.",,,,Bible;New Testament
"Bible, N.T., Acts",,,,Bible;New Testament;Acts
"Bible, N.T., Ezekiel",,,,Bible;New Testament;Ezekiel
"Bible, N.T., Luke",,,,Bible;New Testament;Gospel of Luke
"Bible, N.T., Numbers",,,,Bible;New Testament;Numbers
"Bible, N.T., Revelations",,,,Bible;New Testament;Revelations
"Bible, N.T., Timothy",,,,Bible;New Testament;Timothy
"Bible, Tours",,,,Bible
Biblical Commentary,,,,Bible commentary
Biblical History,,,,Bible history
Bohun Bible,,,,Bible
"Book I, 4,5,6",,,,
Book of Hours,,,,Book of hours
Book of Hours or Psalter,,,,Book of hours;Psalter
"Book of Hours, Use of Rome, Heures Mixtes",,,,Book of hours
Book of Hours; Miniature,,,,Book of hours
Breviary,,,,Breviary
Breviary of Elisabeth von Walmden,,,,Breviary
"Breviary, Psalter",,,,Breviary;Psalter
"Bull of Innocent VIII, 1405",,,,Bull
Calendar,,,,Calendar
Calendar table,,,,Calendar
Canonical Epistles,,,,Epistles
Capitoli della Scuola di Purificatone della Vergine e di Sancto Zenobiot,,,,Capitoli della Scuola di Purificazione della Vergine e di Santo Zenobio
Carmen de nuptiis Pauli Sfortiae et Lucretiae Piae,,,,
"Choir Book, Gradual",,,,Choir book;Gradual
"Chomincia lo libro di lamore di troiolo & da chriseida, Capitulum primum,",,,,Filostrato
"Chronicle, Dominican",,,,Chronicle
Commentary,,,,Commentary
Compendium in Cantica canticorum,,,,Compendium in Cantica canticorum
Confessio,,,,
Constitution and rules,,,,Constitution and rules
DE NUPTIIS PAULLI SFORTIAE ET LU/ CRETIAE PIAE/ ACHILLIS STATII LUSITANI/ CARMEN,,,,
Das Amtbuch,,,,Office book
De Amore Dei,,,,De Amore Dei
De Emendacione Vite sive Regula Vivendi,,,,Emendatio Vitae
De Trinitate,,,,De Trinitate
De Virtutibus S. Martini,,,,De virtutibus sancti Martini
De Vita Imperatorum,,,,De Vita imperatorum
De arca Noe morali et mystica,,,,De arca Noe
De arte metrica,,,,De arte metrica
De conceptu virginali et de originali peccatu,,,,De conceptu virginali et originali peccato
De duodecim abusionibus saeculi,,,,De duodecim abusivis
De finibus,,,,De finibus
De haeresibus,,,,De haeresibus
De heresis adversus chirstainum fidem,,,,De heresis adversus christianum fidem
De intellectu,,,,De intellectu
De legibus,,,,De legibus
De locis et mirabilibus mundi,,,,De locis et mirabilibus mundi
De origine rerum,,,,De origine rerum
De processione Spiritus sancti,,,,De processione Spiritus sancti
De rota verae et falsae religionis,,,,De rota verae et falsae religionis
De vera religione,,,,De vera religione
De verbis apostolis,,,,De verbis apostolis
De vita contemplativa et activa,,,,De vita contemplativa
Decretumor Concordantia discordantium canonum,,,,Decretum Gratiani
"Describit iter suum ad brundisi, sermo Vus",,,,
Dialogi,,,,Dialogues
Diurnal,,,,Diurnal
Epistle,,,,Epistles
Epitaph,,,,Epitaph
Epitaphium Comitis henrici,,,,
Epitaphium petri comestoris,,,,
Epitome,,,,Epitome
Epitome historiarum Trogi Pompeii,,,,Epitome historiarum Trogi Pompeii
"Escrit Par N. JARRY, M. DC. LI",,,,
Excerpta ex operibus Sancti Augustini,,,,
Excerptiones de arte grammatica,,,,
Explicit liber de memoria & reminiscentia. Incipit liber de sompno & vigilia,,,,De memoria et reminiscentia;De Somno et vigilia
Facta et dicta memorabilia,,,,Factorum et dictorum memorabilium libri IX
"Familie nobiles Romanorum, Familie eorundem plebeie",,,,
Florigelium,,,,Florilegium
Formata ut conmendata,,,,
"Giant Bible, Atlantic Bible",,,,Bible
Glossed Canon Law,,,,Canon law
Gradual,,,,Gradual
Grammar,,,,
Gregorialis,,,,Gregorialis
Here begynneth matins of oure ladi,,,,Book of hours
Here bigynneth ye letanye,,,,
Here bigynneth ye vii P,,,,
Historia Ecclesiastica Gentis Anglorum,,,,Historia ecclesiastica
Historia Francorum extract:Life of Saint Brictius of Tours,,,,Historia Francorum
Historia Francorum extracts,,,,Historia Francorum
Historia Scholastica,,,,Historia Scholastica
History,,,,History
Homilarium,,,,Homiliary
Homilia Bede in fest Annunciationis,,,,
Homiliae in Evangelia,,,,Homilies on the Gospels
Homilies on the Gospels,,,,Homilies on the Gospels
