place_as_recorded,authorized_label,structured_value
Austria,Austria,http://vocab.getty.edu/tgn/1000062
Catalonia,Catalonia,http://vocab.getty.edu/tgn/7030216
"Deccan, India",Deccan;India,http://vocab.getty.edu/tgn/7001693;http://vocab.getty.edu/tgn/7000198
England and Spain,England;Spain,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/1000095
France,France,http://vocab.getty.edu/tgn/1000070
France or Flanders,France;Flanders,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7024097
Germany,Germany,http://vocab.getty.edu/tgn/7000084
Italy,Italy,http://vocab.getty.edu/tgn/1000080
Paris,Paris,http://vocab.getty.edu/tgn/7008038
"Paris?, France",Paris;France,http://vocab.getty.edu/tgn/7008038;http://vocab.getty.edu/tgn/1000070
Persia,Persia,http://vocab.getty.edu/tgn/7024079
Prague,Prague,http://vocab.getty.edu/tgn/7006464
Provence or Spain,Provence;Spain,http://vocab.getty.edu/tgn/7012209;http://vocab.getty.edu/tgn/1000095
"Rome?, Italy",Rome;Italy,http://vocab.getty.edu/tgn/7000874;http://vocab.getty.edu/tgn/1000080
Spain,Spain,http://vocab.getty.edu/tgn/1000095
"Šibenik, Croatia",Šibenik;Croatia,http://vocab.getty.edu/tgn/7015447;http://vocab.getty.edu/tgn/7006663
"Verona?, Italy",Verona;Italy,http://vocab.getty.edu/tgn/7003262;http://vocab.getty.edu/tgn/1000080
