name_as_recorded,role,instance_of,authorized_label,structured_value
Abbaye d'Ambronay,associated name,organization,Our Lady of Ambronay,Q1283154
"Abbaye de Chassagne (Ain, France)",associated name,organization,Chassagne monastery,Q1775120
"Abbaye Saint-Sulpice (Ain, France)",former owner,organization,Abbaye de Saint-Sulpice,Q1572876
"Aelfric, Abbot of Eynsham.",author,human,Ælfric of Eynsham,Q271377
Aemilius Probus,author,human,Aemilius Probus,Q37740777
"Aitchison, R. T. 1887-1964",associated name,human,R. T. Aitchison,Q120442551
"Alciati, Andrea, 1492-1550.",author,human,Andrea Alciato,Q464471
"Alcuin, 735-804.",associated name,human,Alcuin,Q154332
"Alexander VI, Pope, 1431-1503.",author,human,Alexander VI,Q108316
"Alfonso V, King of Aragon, 1396-1458",associated name,human,Alfonso V of Aragon,Q312304
Almo collegio Capranica,associated name,organization,Almo Collegio Capranica,Q528019
"Ambrose, Saint, Bishop of Milan, -397",author,human,Ambrose,Q43689
"Ambrose, Saint, Bishop of Milan, -397.",author,human,Ambrose,Q43689
"American Art Association, Anderson Galleries (Firm)",former owner,organization,Anderson Galleries,Q72940895
"Angelo, Simone d', frater, active 1486",author,human,Simone d' Angelo,Q120442552
Anselm.,associated name,human,Anselm of Canterbury,Q43939
"Antoninus, Saint, Archbishop of Florence, 1389-1459.",author,human,Antoninus of Florence,Q773822
"Antonius, de Bozollo",scribe,human,Antonius de Bozollo,Q117338088
"Appeldorn, Herman, -1473",scribe,human,Herman Appeldorn,Q120442553
Aristotle,author,human,Aristotle,Q868
Aristotle.,associated name,human,Aristotle,Q868
"Ascherson, Charles Stephen, 1877-1945",former owner,human,Charles Stephen Ascherson,Q51376234
"Athanasius, Saint, Patriarch of Alexandria, -373.",associated name,human,Athanasios of Alexandria,Q44024
"Augustine, of Hippo, Saint, 354-430.",author,human,Augustine of Hippo,Q8018
"Augustinus, de Ancona, -1328.",author,human,Augustinus Triumphus,Q2871655
"Aureolus, Petrus, approximately 1280-1322.",author,human,Petrus Aureolus,Q1383191
"Baillie-Weaver, Harold, 1860-1926",former owner,human,Harold Baillie Weaver,Q18821788
"Baldung, Johannes, active 1465-1514",scribe,human,Johannes Baldung,Q120442554
"Barresi, Matteo, marchese di Pietraperzia, -1531 or 1532",former owner,human,Matteo Barresi,Q120442555
"Bartolo, of Sassoferrato, 1313-1357.",associated name,human,Bartolus de Saxoferrato,Q439050
"Barzizza, Gasparino, approximately 1360-1431.",author,human,Gasparinus de Bergamo,Q1236187
"Basil, Saint, Bishop of Caesarea, approximately 329-379.",associated name,human,Basil of Caesarea,Q44258
"Bede, the Venerable, Saint, 673-735.",associated name,human,Bede,Q154938
"Benedict, Saint, Abbot of Monte Cassino.",author,human,Benedict of Nursia,Q44265
"Benoît, de Sainte-More, active 12th century.",associated name,human,Benoît de Sainte-Maure,Q435578
"Bernard, de Gordon, approximately 1260-approximately 1318.",author,human,Bernard de Gordon,Q826286
"Bernard, of Clairvaux, Saint, 1090 or 1091-1153",author,human,Bernard of Clairvaux,Q188411
"Bernard, of Clairvaux, Saint, 1090 or 1091-1153.",associated name,human,Bernard of Clairvaux,Q188411
Bernard Halliday (Firm),former owner,organization,Bernard Halliday (Firm),Q120442736
"Bernardino, da Siena, Saint, 1380-1444.",author,human,Bernardino of Siena,Q316295
Bernard Quaritch (Firm),former owner,organization,Bernard Quaritch Ltd,Q65034936
"Beroaldo, Filippo, 1453-1505.",author,human,Filippo Beroaldo,Q3071870
Binoche et Giquello,former owner,organization,Binoche et Giquello,Q120442737
"Boethius, -524",associated name,human,Boethius,Q102851
"Bonaventure, Saint, Cardinal, approximately 1217-1274.",author,human,Bonaventure,Q43746
Book Nook (Firm),former owner,organization,Book Nook,Q120442738
"Bracciolini, Giovan Battista, 1440-1470.",associated name,human,Giovan Battista Bracciolini,Q3766057
"Bracciolini, Giovan Battista,  1440-1470.",author,human,Giovan Battista Bracciolini,Q3766057
