genre_as_recorded,vocabulary,source_authority_uri,authorized_label,structured_value
Annotations (Provenance),rbprov,,,
Artificial grains.,lobt,,,
Blind tooled (decoration),lobt,,,
Bookplates (Provenance),rbprov,,,
Books of hours.,rbgenr,,,
Calendars--14th century.,rbgenr,,,
Compound endbands.,lobt,,,
Cords.,rbbin,,,
Deeds--England--Norfolk--15th century.,rbgenr,,,
Deeds--Germany--15th century.,rbgenr,,,
Deeds.,rbgenr,,,
Early works to 1800.,,,,
Endleaves.,lobt,,,
Envelope flaps (features),lobt,,,
Envelope flaps.,lobt,,,
Epic poetry.,gsafd,,,
Finding tabs.,,,,
Flap bindings,rbbin,,,
Frame covers.,lobt,,,
Full covers.,lobt,,,
Gauffered edges (Binding).,rbbin,,,
Graduals.,rbgenr,,,
Half covers.,lobt,,,
Helical primary endbands.,lobt,,,
Hybrid books.,,,,
Inlays.,lobt,,,
Insertions (Provenance),rbprov,,,
Islamic bindings (Binding),rbbin,,,
Lacquered bindings (Binding),rbbin,,,
Limp covers.,lobt,,,
Linings.,lobt,,,
Manicules.,rbprov,,,
Manuscript waste (Binding)--15th century.,rbbin,,,
Marginal illustrations--Italy--15th century.,aat,,,
Onlays (decoration),lobt,,,
Onlays (decorative components),lobt,,,
Onlays.,lobt,,,
Painted (decoration),lobt,,,
Pasteboards.,lobt,,,
Pastedowns.,lobt,,,
Presentation inscriptions (Provenance),rbprov,,,
Printed marbling (decoration),lobt,,,
Quarter covers.,lobt,,,
Re-used (material),lobt,,,
Re-used (materials),lobt,,,
Recessed sewing supports.,lobt,,,
Secondary sewing (endband techniques),lobt,,,
Separate pastedowns.,lobt,,,
Sermons--14th century.,rbgenr,,,
Side labels.,lobt,,,
Stamps (Provenance),rbprov,,,
Supported sewing.,lobt,,,
Trough-marbled paper.,lobt,,,
