title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label,standard_title
#tNürnbergishe Chronic von Erbauing der Städt bis 1561#,,,,,
#tVon dem Bischoff von Wurtzburg von einer schlechter dach#,,,,,
[No Title for Display},,,,,
[Saint] Cyril of Alexandria Super Evangelium Joannis (1508 Printed Book Leaf,,,,,
"A sarmon of Ihon Oecolampadius to young men and maydens by a famose laborar in the Lordes vinyard among the Germans & switzars translatid owt of Lattin, into English by that paynfull & zealus servant of god, John foxe",,,,,
Abḥāth al-nikāḥ li-dhī istīḍāḥ,,,,,
Abridged history of Arab dynasties,,,,,
Additions to Aurora,,,,,
Adʻiyat al-mustaghīthīn bi-Allāh ʻazza wa-jalla ʻinda al-muhimmāt wa-al-ḥājāt wa-al mutaḍarriʻīn ilayhi subḥānahu bi-al-raghabāt wa-al-daʻawāt wa-mā yassara Allāh lahum min al-ijābāt wa-al-karāmāt,,,,,
al-Akhbār al-maʼthūrah fī al-iṭṭilāʼ bi-al-nūrah,,,,,
al-Aqwāl al-muʻribah fī aḥwāl al-ashribah,,,,,
al-Araj fī al-faraj,,,,,
Alexander material,,,,,
al-Fatḥ al-rabbānī fīmā dhahala ʻanhu al-Zurqānī,الفتح الرباني فيما ذهل عنه الزرقاني.,,,,
al-Fatḥ al-ẓāhir wa-al-naṣr al-bāhir fī fann ramy al-ṭūb wa-al-qunburah,الفتح الظاهر والنصر الباهر في فن رمي الطوب والقنبرة.,,,,
al-Ḥawḍ. Baḥr al-dumūʻ,الحوض. بحر الدموع.,,,,
al-Isfār ʻan qalm al-aẓfār,,,,,
al-Kashf wa-al-tabyīn fī ghurūr al-khalq ajmaʻīn,,,,,
Allegoriae sacrae scripturae,,,,,
al-Mulāḥaẓah al-intiqādiyah fī al-sīrah al-Muḥammadīyah,الملاحظة الانتقادية في السيرة المحمدية.,,,,
al-Mulakhkhaṣ fī al-hayʼah,الملخص في الهيئة.,,,,
al-Muqaddimah al-Ghaznawīyah,المقدمة الغزنوية.,,,,
al-Nuṭq al-mafhūm min ahl al-ṣamt al-maʻlūm,,,,,
Alphabet,,,,,
al-Qawl al-aẓhar fī jawāz libs al-aḥmar,,,,,
al-Risālah al-dāmighah lil-fāsiq... etc,الرسالة الدامغة للفاسق... إلخ..,,,,
al-Risālah al-salāmīyah,,,,,
