name_as_recorded,role,name_agr,source_authority_uri,authorized_label,instance_of,structured_value
Abraham Faber,author,,,Abraham Faber,human,Q67198306
"Abū al-Layth al-Samarqandī, Naṣr ibn Muḥammad, -983",author,ابو الليث السمرقندي، نصر بن محمد، -983؟,,Abou al-Layth As Samarqandî,human,Q938348
"Abū al-Layth al-Samarqandī, Naṣr ibn Muḥammad, -983",author,,http://id.loc.gov/authorities/names/n82268136,Abou al-Layth As Samarqandî,human,Q938348
Aegidius de Fuscarariis,author,,,Egidio Foscarari,human,Q41569530
Aegidius of Paris (Aegidius Parisiensis),author,,,Gilles de Paris,human,Q5355
"Aga Khan, Sadruddin, Prince, 1933-2003",former owner.,,,Prince Sadruddin Aga Khan,human,Q123987
Agostino Staccoli,author,,,Agostino Staccoli,human,Q45535876
"Aitken, George Atherton, 1860-1917",former owner.,,,George Atherton Aitken,human,Q15930536
Alain Chartier,author,,,Alain Chartier,human,Q982038
"Albertano, da Brescia, active 13th century",author,,http://id.loc.gov/authorities/names/n86825133.html,Albertanus of Brescia,human,Q2831705
Albertus Magnus,author,,,Albertus Magnus,human,Q60059
"Albertus, Magnus, Saint, 1193?-1280",attributed name.,,,Albertus Magnus,human,Q60059
"Albertus, Magnus, Saint, 1193?-1280",author,,,Albertus Magnus,human,Q60059
"Albertus, Magnus, Saint, 1193?-1280",author,,http://id.loc.gov/authorities/names/n81007973.html,Albertus Magnus,human,Q60059
Alcuin,author,,,Alcuin,human,Q154332
Aldobrandino da Siena,author,,,Aldobrandino da Siena,human,Q2832270
"Alighieri, Jacopo. ""Capitoli sulla Divina commedia di Dante Alighieri,"" 197v-198:",author,,,Jacopo Alighieri,human,Q1161153
"Alleyn, James",former owner.,,,Sir James Alleyn,human,Q56063918
Alulfus of Tournai,author,,,Alulphe of Tournai,human,Q46592455
Ambrose,author,,,Ambrose,human,Q43689
Ambrose of Milan,author,,http://viaf.org/viaf/100227669,Ambrose,human,Q43689
Andrea Alciati,author,,,Andrea Alciato,human,Q464471
Anselm,author,,,Anselm of Canterbury,human,Q43939
Anselm of Canterbury,author,,,Anselm of Canterbury,human,Q43939
"Anselm, Saint, Archbishop of Canterbury, 1033-1109",author,,http://id.loc.gov/authorities/names/n50024763.html,Anselm of Canterbury,human,Q43939
"Anselm, Saint, Archbishop of Canterbury, 1033-1109",author,,http://viaf.org/viaf/100187025,Anselm of Canterbury,human,Q43939
"Antoninus, Saint, Archbishop of Florence, 1389-1459",author,,http://viaf.org/viaf/89209643,Antoninus of Florence,human,Q773822
Antonio Pierozzi,author,,,Antoninus of Florence,human,Q773822
Aquiles Estaço,author,,,Achilles Statius,human,Q4673751
Aristotle,author,,http://id.loc.gov/authorities/names/n79004182.html,Aristotle,human,Q868
Aristotle,author,,,Aristotle,human,Q868
Aristotle (Aristoteles),author,,,Aristotle,human,Q868
Arnaldus de Villanova,author,,http://viaf.org/viaf/100189814,Arnaldus de Villa Nova,human,Q356568
"Arnaldus, de Villanova, d. 1311",author,,,Arnaldus de Villa Nova,human,Q356568
Augustine,author,,,Augustine of Hippo,human,Q8018
Augustine (Aurelius Augustinus),author,,,Augustine of Hippo,human,Q8018
"Augustine, Saint, Bishop of Hippo",author,,http://viaf.org/viaf/66806872/,Augustine of Hippo,human,Q8018
"Augustine, Saint, Bishop of Hippo",author,,http://id.loc.gov/authorities/names/n80126290.html,Augustine of Hippo,human,Q8018
"Augustine, of Hippo, Saint, 354-430",author,,http://viaf.org/viaf/66806872,Augustine of Hippo,human,Q8018
"Augustine, of Hippo, Saint, 354-430",author,,http://id.loc.gov/authorities/names/n80126290.html,Augustine of Hippo,human,Q8018
"Augustine, of Hippo, Saint, 354-430",author,,https://viaf.org/viaf/66806872,Augustine of Hippo,human,Q8018
"Augustine, of Hippo, Saint, 354-430",author.,,,Augustine of Hippo,human,Q8018
"Baillie-Weaver, Harold, -1926",former owner,,,Harold Baillie Weaver,human,Q18821788
"Basil, Saint, Bishop of Caesarea, approximately 329-379",author,,http://id.loc.gov/authorities/names/n80004066.html,Basil of Caesarea,human,Q44258
Battista Malatesta,author,,,Battista Malatesta,human,Q4869934
Baudhāyana,author,,,Baudhayana,human,Q3384944
"Beatty, A. Chester Sir, 1875-1968",former owner.,,,Alfred Chester Beatty,human,Q1387981
Bede,author,,,Bede,human,Q154938
Bernard of Clairvaux,author,,,Bernard of Clairvaux,human,Q188411
Bernard of Clairvaux (Bernardus Claraevallensis),author,,,Bernard of Clairvaux,human,Q188411
Bernard of Clairvaux?,author,,,Bernard of Clairvaux,human,Q188411
"Bernard, of Clairvaux, Saint, 1090 or 1091-1153",author.,,,Bernard of Clairvaux,human,Q188411
"Bernard, of Clairvaux, Saint, 1090 or 1091-1153",author,,http://viaf.org/viaf/59875293,Bernard of Clairvaux,human,Q188411
"Bernard, of Clairvaux, Saint, 1090 or 1091-1153",author,,http://id.loc.gov/authorities/names/n79059107.html,Bernard of Clairvaux,human,Q188411
Bernardino Ochino,author,,,Bernardino Ochino,human,Q822924
"Bhāskarācārya, 1114-",author,باسكراكاريا، - 1114-,,Bhāskara II,human,Q213385
"Bhāskarācārya, 1114-",author,"باسکراکاریا, 1114-",,Bhāskara II,human,Q213385
