name_as_recorded,role,name_agr,source_authority_uri,instance_of,authorized_label,structured_value
Abraham Faber,author,,,human,Abraham Faber,Q67198306
"Abū al-Layth al-Samarqandī, Naṣr ibn Muḥammad, -983",author,,http://id.loc.gov/authorities/names/n82268136,human,Abou al-Layth As Samarqandî,Q938348
"Abū al-Layth al-Samarqandī, Naṣr ibn Muḥammad, -983",author,ابو الليث السمرقندي، نصر بن محمد، -983؟,,human,Abou al-Layth As Samarqandî,Q938348
Aegidius de Fuscarariis,author,,,human,Egidio Foscarari,Q41569530
Aegidius of Paris (Aegidius Parisiensis),author,,,human,Gilles de Paris,Q5355
"Aga Khan, Sadruddin, Prince, 1933-2003",former owner.,,,human,Prince Sadruddin Aga Khan,Q123987
Agostino Staccoli,author,,,human,Agostino Staccoli,Q45535876
Alain Chartier,author,,,human,Alain Chartier,Q982038
"Albertano, da Brescia, active 13th century",author,,http://id.loc.gov/authorities/names/n86825133.html,human,Albertanus of Brescia,Q2831705
Albertus Magnus,author,,,human,Albertus Magnus,Q60059
"Albertus, Magnus, Saint, 1193?-1280",author,,http://id.loc.gov/authorities/names/n81007973.html,human,Albertus Magnus,Q60059
"Albertus, Magnus, Saint, 1193?-1280",author,,,human,Albertus Magnus,Q60059
"Albertus, Magnus, Saint, 1193?-1280",attributed name.,,,human,Albertus Magnus,Q60059
Alcuin,author,,,human,Alcuin,Q154332
Aldobrandino da Siena,author,,,human,Aldobrandino da Siena,Q2832270
"Alighieri, Jacopo. ""Capitoli sulla Divina commedia di Dante Alighieri,"" 197v-198:",author,,,human,Jacopo Alighieri,Q1161153
"Alleyn, James",former owner.,,,human,Sir James Alleyn,Q56063918
Alulfus of Tournai,author,,,human,Alulphe of Tournai,Q46592455
Ambrose,author,,,human,Ambrose,Q43689
Ambrose of Milan,author,,http://viaf.org/viaf/100227669,human,Ambrose,Q43689
Andrea Alciati,author,,,human,Andrea Alciato,Q464471
Anselm,author,,,human,Anselm of Canterbury,Q43939
Anselm of Canterbury,author,,,human,Anselm of Canterbury,Q43939
"Anselm, Saint, Archbishop of Canterbury, 1033-1109",author,,http://id.loc.gov/authorities/names/n50024763.html,human,Anselm of Canterbury,Q43939
"Anselm, Saint, Archbishop of Canterbury, 1033-1109",author,,http://viaf.org/viaf/100187025,human,Anselm of Canterbury,Q43939
"Antoninus, Saint, Archbishop of Florence, 1389-1459",author,,http://viaf.org/viaf/89209643,human,Antoninus of Florence,Q773822
Antonio Pierozzi,author,,,human,Antoninus of Florence,Q773822
Antonius Vincentius,author,,,human,Antoine Vincent,Q112436611
Aquiles Estaço,author,,,human,Achilles Statius,Q4673751
Aristotle,author,,http://id.loc.gov/authorities/names/n79004182.html,human,Aristotle,Q868
Aristotle,author,,,human,Aristotle,Q868
Aristotle (Aristoteles),author,,,human,Aristotle,Q868
Arnaldus de Villanova,author,,http://viaf.org/viaf/100189814,human,Arnaldus de Villa Nova,Q356568
"Arnaldus, de Villanova, d. 1311",author,,,human,Arnaldus de Villa Nova,Q356568
Auchinleck Library,former owner.,,,organization,Auchinleck Community Library,Q62631900
Augustine,author,,,human,Augustine of Hippo,Q8018
Augustine (Aurelius Augustinus),author,,,human,Augustine of Hippo,Q8018
"Augustine, Saint, Bishop of Hippo",author,,http://viaf.org/viaf/66806872/,human,Augustine of Hippo,Q8018
"Augustine, Saint, Bishop of Hippo",author,,http://id.loc.gov/authorities/names/n80126290.html,human,Augustine of Hippo,Q8018
"Augustine, of Hippo, Saint, 354-430",author,,https://viaf.org/viaf/66806872,human,Augustine of Hippo,Q8018
"Augustine, of Hippo, Saint, 354-430",author,,http://id.loc.gov/authorities/names/n80126290.html,human,Augustine of Hippo,Q8018
"Augustine, of Hippo, Saint, 354-430",author,,http://viaf.org/viaf/66806872,human,Augustine of Hippo,Q8018
"Augustine, of Hippo, Saint, 354-430",author.,,,human,Augustine of Hippo,Q8018
"Baillie-Weaver, Harold, -1926",former owner,,,human,Harold Baillie Weaver,Q18821788
"Basil, Saint, Bishop of Caesarea, approximately 329-379",author,,http://id.loc.gov/authorities/names/n80004066.html,human,Basil of Caesarea,Q44258
Battista Malatesta,author,,,human,Battista Malatesta,Q4869934
Baudhāyana,author,,,human,Baudhayana,Q3384944
"Bayḍāwī, ʻAbd Allāh ibn ʻUmar, -1286",author,بيضاوي، عبد الله بن عمر، -1286؟,,human,Baidawi,Q287573
"Beatty, A. Chester Sir, 1875-1968",former owner.,,,human,Alfred Chester Beatty,Q1387981
"Beck, Helmut, 1919-2001",former owner.,,,human,Helmut Beck,Q94821473
Bede,author,,,human,Bede,Q154938
Bernard Quaritch (Firm),former owner,,,organization,Bernard Quaritch Ltd,Q65034936
Bernard of Clairvaux,author,,,human,Bernard of Clairvaux,Q188411
Bernard of Clairvaux (Bernardus Claraevallensis),author,,,human,Bernard of Clairvaux,Q188411
Bernard of Clairvaux?,author,,,human,Bernard of Clairvaux,Q188411
"Bernard, of Clairvaux, Saint, 1090 or 1091-1153",author,,http://viaf.org/viaf/59875293,human,Bernard of Clairvaux,Q188411
"Bernard, of Clairvaux, Saint, 1090 or 1091-1153",author.,,,human,Bernard of Clairvaux,Q188411
"Bernard, of Clairvaux, Saint, 1090 or 1091-1153",author,,http://id.loc.gov/authorities/names/n79059107.html,human,Bernard of Clairvaux,Q188411
Bernardino Ochino,author,,,human,Bernardino Ochino,Q822924
"Bhāskarācārya, 1114-",author,باسكراكاريا، - 1114-,,human,Bhāskara II,Q213385
"Bhāskarācārya, 1114-",author,"باسکراکاریا, 1114-",,human,Bhāskara II,Q213385
"Bigod, Roger, Earl of Norfolk, d. 1221",author,,,human,"Roger Bigod, 2nd Earl of Norfolk",Q3438704
"Boccaccio, Giovanni, 1313-1375",author,,,human,Giovanni Boccaccio,Q1402
Boethius (Anicius Manlius Severinus Boethius),author,,,human,Boethius,Q102851
"Boethius, -524",author,,http://id.loc.gov/authorities/names/n79029805.html,human,Boethius,Q102851
"Boethius, -524",author,,,human,Boethius,Q102851
"Bohic, Henri, 1310-approximately 1390",author,,http://id.loc.gov/authorities/names/n2015042280.html,human,Henri Bohic,Q3130702
"Bonaventure, Saint, Cardinal, approximately 1217-1274",author.,,,human,Bonaventure,Q43746
"Bonfils, Immanuel ben Jacob, 14th cent",author,,,human,Immanuel Bonfils,Q354517
"Bragge, William",former owner,,,human,William Bragge,Q15453218
"Bragge, William, 1823-1884",former owner,,,human,William Bragge,Q15453218
"Brecher, Adolf",former owner.,,,human,Adolf Brecher,Q15217756
Brunner Library,former owner.,,,organization,Northwich Library,Q26454778
"Burgess, Edward Sandford, 1855-1928",former owner.,,,human,Edward Sandford Burgess,Q5820022
"Burgess, Julia",former owner.,,,human,Julia Burgess,Q75469750
"Caffarelli, Prospero, d. 1500",former owner.,,,human,Prospero Caffarelli,Q55643327
"Carson, Hampton L. (Hampton Lawrence), 1852-1929",former owner,,,human,Hampton L. Carson,Q19974462
Catholic Church,author,,http://viaf.org/viaf/130782063,organization,Catholic Church,Q9592
Catholic Church,author,,,organization,Catholic Church,Q9592
Cecco d'Ascoli,author,,,human,Cecco d'Ascoli,Q728592
"Chetwode, John, Sir, 1764-1845",former owner.,,,human,"Sir John Chetwode, 4th Baronet",Q11800745
Christine de Pizan,author,,,human,Christine de Pizan,Q234816
Christoph Hegendorf,author,,,human,Christoph Hegendorff,Q75977
Cicero,author,,,human,Cicero,Q1541
"Cicero, Marcus Tullius",author.,,,human,Cicero,Q1541
"Cicero, Marcus Tullius.",author,,https://viaf.org/viaf/78769600,human,Cicero,Q1541
"Clark, Clarence H. (Clarence Howard), 1833-1906",former owner,,,human,"Clarence Howard Clark, Sr.",Q5126591
Claudianus Osbern of Gloucester,author,,,human,Osbern of Gloucester,Q680829
"Cockerell, Sidney C.",former owner,,,human,Sydney Cockerell,Q966843
"Cockerell, Sydney Carlyle, Sir, 1867-1962",former owner,,,human,Sydney Cockerell,Q966843
Coluccio Salutati,author,,,human,Coluccio Salutati,Q93113
"Conant, Samuel",former owner,,,human,S. S. Conant,Q110226047
Constantine the African,author,,,human,Constantine the African,Q468641
Cornelius Nepos,author,,,human,Cornelius Nepos,Q109594
"Court, Benoît de",former owner.,,,human,Benoît Le Court,Q106904178
"Crescenzi, Pietro de', approximately 1233-approximately 1320",author,,,human,Pietro de' Crescenzi,Q1933377
"Cyprian, Saint, Bishop of Carthage",author,,http://viaf.org/viaf/100179090,human,Cyprian,Q190240
Daniele Barbaro,author,,,human,Daniele Barbaro,Q378870
Dante Alighieri,author,,,human,Dante Alighieri,Q1067
Delis,former owner.,,,organization,Delhi,Q1353
"Dioscorides Pedanius, of Anazarbos",author,ديسقوريدس,,human,Pedanius Dioscorides,Q297776
"Drury, Henry, 1778-1841",former owner.,,,human,Henry Drury,Q5720478
"Dysart, Lionel Tollemache, Earl of, 1708-1770",former owner.,,,human,"Lionel Tollemache, 4th Earl of Dysart",Q6555815
"Ebner von Eschenbach, Hieronymus Wilhelm, 1673-1752",former owner.,,,human,Hieronymus Wilhelm Ebner von Eschenbach,Q15452636
Edmund of Abingdon,author,,,human,Edmund of Abingdon,Q1235967
"Edmund, earl of Lancaster",author,,,human,Edmund Crouchback,Q447802
"Ess, Leander van 1772-1847",former owner,,,human,Johann Heinrich van Ess,Q1810643
"Ess, Leander van, 1772-1847",former owner,,,human,Johann Heinrich van Ess,Q1810643
Euclid,author,,,human,Euclid,Q8747
Euclid (Euclides),author,,,human,Euclid,Q8747
Eugippius,author,,,human,Eugippius,Q738491
Eusebius of Cremona,author,,,human,Eusebius of Cremona,Q24013788
Evrard de Béthune,author,,,human,Eberhard of Béthune,Q5331803
"Étampes-Valençay, Léonor d', approximately 1585-1651",author.,,,human,Léonore d'Étampes de Valençay,Q3271738
Fazio degli Uberti,author,,,human,Fazio of Uberti,Q1399161
"Feltrinelli, Giannalisa",former owner.,,,human,Giannalisa Feltrinelli,Q95750251
"Fenwick, Thomas FitzRoy Phillipps, 1856-1938",former owner.,,,human,Thomas FitzRoy Phillipps Fenwick,Q75889469
"Fenwick, Thomas Fitzroy Phillipps, 1856-1938",former owner,,,human,Thomas FitzRoy Phillipps Fenwick,Q75889469
Firdawsī,author,,,human,Ferdowsi,Q43459
