name_as_recorded,role,name_agr,source_authority_uri,instance_of,authorized_label,structured_value
"Abbadia San Salvatore (Siena, Italy)",author,,http://id.loc.gov/authorities/names/nr87000182,organization,Abbadia San Salvatore,Q91096
"Abbey, J. R. 1896-1969",former owner,,http://id.loc.gov/authorities/names/nr94014439,human,John Roland Abbey,Q6255470
"Abraham bar Hiyya Savasorda, approximately 1065-approximately 1136",author,,http://id.loc.gov/authorities/names/n50057585,human,Abraham bar Hiyya,Q31439
"Abraham ben Meshullam, of Sant'Angelo",scribe,,,human,Abraham ben Meshullam of Sant'Angelo,Q116193103
"Abū Bakr al-Ḥaṣṣār, active 12th century",author,ابو بكر الحصار، active 12th century,http://id.loc.gov/authorities/names/no2016124755,human,Abu Bakr al-Hassar,Q4116723
Abū al-Ḥasan Sa'ad,scribe,,,human,Abū al-Ḥasan Sa'ad,Q116235219
"Abū al-Qāsim Khalaf ibn ʻAbbās al-Zahrāwī, -1013",author,أبو القاسم خلف بن عباس الزهراوي، -1013,http://id.loc.gov/authorities/names/n80103641,human,Abu al-Qasim al-Zahrawi,Q311495
"Accademia platonica (Florence, Italy)",author,,http://id.loc.gov/authorities/names/n85068842,organization,Platonic Academy,Q4579791
Acciaiuoli family,author,,,human,Acciaioli family,Q339067
"Adam, magister, -1408",author,,,human,"Adam, magister",Q116064221
"Adimari, Lionardo di Paolo",former owner,,,human,Lionardo di Paolo Adimari,Q116235269
"Adrian VI, Pope, 1459-1523",author,,http://id.loc.gov/authorities/names/n80020628,human,Adrian VI,Q57087
"Aga Khan, Sadruddin, Prince, 1933-2003",former owner,,http://id.loc.gov/authorities/names/n78075292,human,Prince Sadruddin Aga Khan,Q123987
"Agarius, Petrus",scribe,,,human,Petrus Agarius,Q116235295
"Agnese, Battista, active 16th century",author,,http://id.loc.gov/authorities/names/n81089266,human,Battista Agnese,Q612967
"Akbar, Emperor of Hindustan, 1542-1605",former owner,,http://id.loc.gov/authorities/names/n80002413,human,Akbar,Q8597
"Alamanno, di Bernardo di Alamanni de Medici",author,,,human,Alamanno de' Medici,Q116181729
"Alanus, de Insulis, -1202",author,,http://id.loc.gov/authorities/names/n50035344,human,Alain de Lille,Q4313
"Albertano, da Brescia, active 13th century",author,,http://id.loc.gov/authorities/names/n86825133,human,Albertanus of Brescia,Q2831705
"Albertus, Magnus, Saint, 1193?-1280",author,,http://id.loc.gov/authorities/names/n81007973,human,Albertus Magnus,Q60059
"Alcuin, 735-804",author,,,human,Alcuin,Q154332
"Alderotti, Taddeo, 1223-1295",author,,http://id.loc.gov/authorities/names/n80095827,human,Taddeo Alderotti,Q328138
"Aldobrandino, Brunetto d'",scribe,,,human,Brunetto d'Aldobrandino,Q116235342
"Aldobrandino, da Siena, -1287",author,,http://id.loc.gov/authorities/names/nr98037023,human,Aldobrandino da Siena,Q2832270
"Alessandro, da Sassoferrato, Cardinal",author,,,human,Alessandro da Sassoferrato,Q116235361
"Alexander VI, Pope, 1431-1503",author,,http://id.loc.gov/authorities/names/n50058829,human,Alexander VI,Q108316
"Alexander, de Villa Dei",author,,http://id.loc.gov/authorities/names/n87113424,human,Alexander of Villedieu,Q692413
"Alguadez, Meir ben Solomon, active 1390-1410",author,,http://id.loc.gov/authorities/names/nb2007009872,human,Meir ben Solomon Alguadez,Q111981544
"Alkusei, Thomas",former owner,,,human,Thomas Alkusei,Q116235828
"Allan, Henry",former owner,,http://id.loc.gov/authorities/names/nb2004302701,human,Henry Allan,Q116064463
"Allan, Samuel",former owner,,,human,Samuel Allan,Q116172594
"Allegri, Bernardo",author,,,human,Bernardo Allegri,Q116040860
"Allen, William H",former owner,,http://id.loc.gov/authorities/names/n86811333,human,William H. Allen,Q64020626
"Almosnino, Moses ben Baruch, approximately 1515-approximately 1580",author,,http://id.loc.gov/authorities/names/n86031042,human,Moses Almosnino,Q6915684
"Altemps, Giovanni Angelo, duca di Gallese, -1620",former owner,,http://id.loc.gov/authorities/names/nr99016327,human,Giovanni Angelo Altemps,Q55225064
"Altsaʻadi, Seʻadyah ben Yehudah",former owner,"אלצעבי, סדעיה בן יהודה",,human,Seʻadyah ben Yehudah Altsaʻadi,Q116235831
"Amadio, Andrea",author,,,human,Andrea Amadio,Q3615472
"Amadori, Andrea",author,,http://id.loc.gov/authorities/names/nr00031831,human,Andrea Amadori,Q99501447
"Amari, Michele, 1806-1889",former owner,,http://id.loc.gov/authorities/names/n50024133,human,Michele Amari,Q703569
"Ambrose, Saint, Bishop of Milan, -397",author,,http://id.loc.gov/authorities/names/n79029712,human,Ambrose,Q43689
"Amram, David Werner, 1866-1939",former owner,,http://id.loc.gov/authorities/names/n85197110,human,David Werner Amram,Q5240973
"Amsdorff, Nicolaus von, 1483-1565",author,,http://id.loc.gov/authorities/names/n2001065930,human,Nicolaus von Amsdorf,Q63188
Ancona (Italy). Anziani,author,,,organization,Palazzo degli Anziani,Q3891178
"Andrea, Stefano d', active 1531",author,,,human,Stefano d'Andrea,Q116235844
"Andrea, da Barberino, approximately 1370-",author,,http://id.loc.gov/authorities/names/n97025851,human,Andrea da Barberino,Q2564714
"Angelo Carletti, 1411-1495",author,,http://id.loc.gov/authorities/names/n88070683,human,Angelo Carletti di Chivasso,Q3616927
"Angeriano, Girolamo, active 16th century",author,,http://id.loc.gov/authorities/names/n96035418,human,Girolamo Angeriano,Q3768890
"Ansermus, Robusti",scribe,,,human,Robusti Ansermus,Q116235851
"Anṣārī, ʻAlī ibn ʻAbd Allāh",scribe,انصاري، علي بن عبد الله، ǂe scribe,,human,ʻAlī ibn ʻAbdallah Anṣārī,Q116235860
"Antoninus, Saint, Archbishop of Florence, 1389-1459",author,,http://id.loc.gov/authorities/names/n86859662,human,Antoninus of Florence,Q773822
"Antonio di Domenice, di Ciacco",author,,,human,Antonio di Domenice di Ciacco,Q116235870
"Apel, Nikolaus, 1482-1545",author,,,human,Nikolaus Apel,Q28004827
Apicius,author,,http://id.loc.gov/authorities/names/n84238685,human,Marcus Gavius Apicius,Q117841
"Appleby, Thomas, 16th century",former owner,,,human,Thomas Appleby,Q116235879
"Aqsarāʼī, Muḥammad ibn Muḥammad, active 14th century",author,اقسرائي، محمد بن محمد، active 14th century,http://id.loc.gov/authorities/names/nr2001006661,human,Muḥammad ibn Muḥammad Aqsarāʼī,Q116235892
"Archer, Michell",author,,,human,Michell Archer,Q116236850
Ardillonius,scribe,,,human,Ardillonius,Q116235905
"Aresty, Esther Bradford",former owner,,,human,Esther Bradford Aresty,Q18619001
"Aretino, Pietro, 1492-1556",author,,http://id.loc.gov/authorities/names/n79089193,human,Pietro Aretino,Q296272
Aristotle,author,,http://id.loc.gov/authorities/names/n79004182,human,Aristotle,Q868
Arles (France),author,,http://id.loc.gov/authorities/names/n79089381,organization,Arles,Q48292
"Armellini Medici, Francesco de', Cardinal, 1470-1527",author,,,human,Francesco Armellini Pantalassi de' Medici,Q2374621
"Arnoul, de Bohéries, 12th century",author,,,human,Arnulf of Bohéries,Q88017720
Arrigucci family,author,,,organization,Arrigucci family,Q116712171
"Arrigucci, Federico",author,,,human,Federico Arrigucci,Q116235914
"Arte della lana (Guild : Florence, Italy)",author,,http://id.loc.gov/authorities/names/nr94031062,organization,Wool Guild,Q542935
"Ascherson, C. S",former owner,,,human,Charles Stephen Ascherson,Q51376234
"Ashburner, Walter, 1864-1936",former owner,,http://id.loc.gov/authorities/names/n84056231,human,Walter Ashburner,Q52155775
"Ashburnham, Bertram Ashburnham, Earl of, 1797-1878",former owner,,http://id.loc.gov/authorities/names/n82255127,human,"Bertram Ashburnham, 4th Earl of Ashburnham",Q21855104
"Ashkenazi, Peretz ben Yehuda Mintz",former owner,,,human,Peretz ben Yehuda Mintz Ashkenazi,Q116250351
"Assemani, Antonio",former owner,,,human,Antonio Assemani,Q116250586
