title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label
Bible in mnemonic form,,,,Bible
Bible study guide,,,,Bible
"Bible, O. T.",,,,Bible;Old Testament
Biblical genealogies,,,,Bible genealogies
Book of Hours,,,,Book of hours
Claves sacre scripture,,,,Claves sacre scripture
Incipiunt ethimologie et concordantie conclusionum per reverendissimum dominum magistrum petrum de pergamo,,,,"Etymologiae, seu Concordantiae conclusionum Thomae Aquinatis"
Lectionary,,,,Lectionary
Orationes itinerantium,,,,Orationes
Prayers,,,,Prayers
Tabula aurea,,,,Tabula aurea
