subject_as_recorded,subfield_codes,vocab,source_authority_uri,authorized_label,structured_value,authorized_label_add,structured_value_add
Abbots.,a,fast,http://id.worldcat.org/fast/794221,Abbots,http://id.worldcat.org/fast/794221,,
Abbots--Early works to 1800.,a--v,0,,Abbots;Early works,http://id.worldcat.org/fast/794221;http://id.worldcat.org/fast/1411636,,
Accounting.,a,fast,http://id.worldcat.org/fast/795379,Accounting,http://id.worldcat.org/fast/795379,,
Accounting--France--14th century.,a--z--y,0,,Accounting;France;Fourteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/933420,,
Accounting--Germany--16th century.,a--z--y,0,,Accounting;Germany;Sixteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1210272;http://id.worldcat.org/fast/1119851,,
Accounting--Italy--15th century.,a--z--y,0,,Accounting;Italy;Fifteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/923962,,
Accounting--Italy--16th century.,a--z--y,0,,Accounting;Italy;Sixteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1119851,,
Accounting--Italy--17th century.,a--z--y,0,,Accounting;Italy;Seventeenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1113663,,
Accounting--Spain--16th century.,a--z--y,0,,Accounting;Spain;Sixteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1119851,,
Accounts.,a,aat,http://vocab.getty.edu/aat/300145802,Accounts,http://id.worldcat.org/fast/795510,,
Acrostics.,a,fast,http://id.worldcat.org/fast/796098,Acrostics,http://id.worldcat.org/fast/796098,,
Acrostics--Early works to 1800.,a--v,0,,Acrostics;Early works,http://id.worldcat.org/fast/796098;http://id.worldcat.org/fast/1411636,,
Actions and defenses.,a,fast,http://id.worldcat.org/fast/796238,Actions and defenses,http://id.worldcat.org/fast/796238,,
Actions and defenses--Italy--Milan--15th century.,a--z--z--y,0,,Actions and defenses;Italy--Milan;Fifteenth century,http://id.worldcat.org/fast/796238;http://id.worldcat.org/fast/1208698;http://id.worldcat.org/fast/923962,,
Administration.,a,fast,http://id.worldcat.org/fast/1351613,Administration,http://id.worldcat.org/fast/1351613,,
Affinity (Law)--Early works to 1800.,a--v,0,,,,Affinity (Law);Early works,http://id.worldcat.org/fast/798890;http://id.worldcat.org/fast/1411636
Agriculture.,a,fast,http://id.worldcat.org/fast/801355,Agriculture,http://id.worldcat.org/fast/801355,,
Agriculture--Early works to 1800.,a--v,0,http://id.loc.gov/authorities/subjects/sh2007100872,Agriculture;Early works,http://id.worldcat.org/fast/801355;http://id.worldcat.org/fast/1411636,,
Agriculture--Economic aspects.,a--x,fast,http://id.worldcat.org/fast/801415,Agriculture--Economic aspects,http://id.worldcat.org/fast/801415,,
Agriculture--Economic aspects--France--History.,a--x--z--x,0,,Agriculture--Economic aspects;France;History,http://id.worldcat.org/fast/801415;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/958235,,
Agriculture--Economic aspects--Italy.,a--x--z,0,http://id.loc.gov/authorities/subjects/sh2007100846,Agriculture--Economic aspects;Italy,http://id.worldcat.org/fast/801415;http://id.worldcat.org/fast/1204565,,
Alassio (Italy),a,0,http://id.loc.gov/authorities/names/n85039139,Italy--Alassio,http://id.worldcat.org/fast/1232716,,
Albenga (Italy),a,0,http://id.loc.gov/authorities/names/n80001314,Italy--Albenga,http://id.worldcat.org/fast/1207333,,
Albi (France),a,0,http://id.loc.gov/authorities/names/n81043405,France--Albi,http://id.worldcat.org/fast/1213039,,
Albigenses.,a,0,http://id.loc.gov/authorities/subjects/sh85003228,Albigenses,http://id.worldcat.org/fast/804195,,
Albigenses.,a,fast,http://id.worldcat.org/fast/804195,Albigenses,http://id.worldcat.org/fast/804195,,
Albums--Italy.,a--z,0,,,,Albums;Italy,http://id.worldcat.org/fast/804224;http://id.worldcat.org/fast/1204565
Alchemy.,a,fast,http://id.worldcat.org/fast/804245,Alchemy,http://id.worldcat.org/fast/804245,,
Alchemy--Bibliography.,a--x,0,,Alchemy--Bibliography,http://id.worldcat.org/fast/1424492,,
Alchemy--Bibliography.,a--x,fast,http://id.worldcat.org/fast/1424492,Alchemy--Bibliography,http://id.worldcat.org/fast/1424492,,
Alchemy--Early works to 1800.,a--v,0,http://id.loc.gov/authorities/subjects/sh2007100968,Alchemy;Early works,http://id.worldcat.org/fast/804245;http://id.worldcat.org/fast/1411636,,
Algebra.,a,fast,http://id.worldcat.org/fast/804885,Algebra,http://id.worldcat.org/fast/804885,,
Algebra--Early works to 1800.,a--v,0,http://id.loc.gov/authorities/subjects/sh2007100984,Algebra;Early works,http://id.worldcat.org/fast/804885;http://id.worldcat.org/fast/1411636,,
Allersberg (Germany),a,0,http://id.loc.gov/authorities/names/n78042928,Germany--Allersberg,http://id.worldcat.org/fast/1203587,,
Alphabets.,a,fast,http://id.worldcat.org/fast/805974,Alphabets,http://id.worldcat.org/fast/805974,,
