as_recorded,split
"1 item: This document was written by a notary, Franciscus Coscolla. His notarial sign appears at the foot of the document along with the signatures of three other people. The document is sealed on the support and the seal is covered with paper.|1 item: Latin.|1 item: The main text of this document was written in Latin by the notary Franciscus Coscolla and his notarial sign appears at the bottom of it. The main text is dated May 6, 1551, and includes the names of two witnesses, Melchiore Mazenta and Lazaro de Yarze, merchants of Valenza. Below the main text appear the signatures of three people (presumably ""the undersigned"" mentioned in the docket), all dated in June and all written in Italian. The first name is Girolamo Sanson, the second is Giovan Antonio but his family name is heavily abbreviated, and the third is illegible.|Explicit, 1 item: Laurentius de Bartholis makes the undersigned his factor in Florence.","1 item: This document was written by a notary, Franciscus Coscolla. His notarial sign appears at the foot of the document along with the signatures of three other people. The document is sealed on the support and the seal is covered with paper.|1 item: Latin.|1 item: The main text of this document was written in Latin by the notary Franciscus Coscolla and his notarial sign appears at the bottom of it. The main text is dated May 6, 1551, and includes the names of two witnesses, Melchiore Mazenta and Lazaro de Yarze, merchants of Valenza.|Below the main text appear the signatures of three people (presumably ""the undersigned"" mentioned in the docket), all dated in June and all written in Italian. The first name is Girolamo Sanson, the second is Giovan Antonio but his family name is heavily abbreviated, and the third is illegible.|Explicit, 1 item: Laurentius de Bartholis makes the undersigned his factor in Florence."
"1 leaf, recto and verso, torn: In the margin on the verso, finding letters ""O"" through ""T"" and occasionally the citation of the author quoted (e.g. ""Io"" for ""Ieronimus"").|f. 1 recto and verso, torn: This text printed by Joseph Lang, ed., Florilegii magni seu polyantheae floribus novissimis sparsae (Lyon, 1681) vol. 1, col. 2653, under the running headling, ""Superbia."" Given the very torn state of this fragment and the damage to the recto from glue (to use the leaf as a pastedown?), the text's incipit and explicit are reported from the printed book (although they are partially visible in the manuscript).|Incipit, f. 1 recto and verso, torn: cum prostratis in minimis gravius confunduntur. Gregorius in Moralia. Plerumque latet superbia et castitas innotescit atque ideo renata diu castitas//.|Explicit, f. 1 recto and verso, torn: //<first line not legible> Quid prodest dispergendo dare pauperibus, pauperem fieri cum anima misera superbior efficitur divicias contempnendo quam fuerat possidendo? Augustinus in <libro ?> clericorum. Humilitas homines sanctis angelis.","1 leaf, recto and verso, torn: In the margin on the verso, finding letters ""O"" through ""T"" and occasionally the citation of the author quoted (e.g. ""Io"" for ""Ieronimus"").|f. 1 recto and verso, torn: This text printed by Joseph Lang, ed., Florilegii magni seu polyantheae floribus novissimis sparsae (Lyon, 1681) vol. 1, col. 2653, under the running headling, ""Superbia.""|Given the very torn state of this fragment and the damage to the recto from glue (to use the leaf as a pastedown?), the text's incipit and explicit are reported from the printed book (although they are partially visible in the manuscript).|Incipit, f. 1 recto and verso, torn: cum prostratis in minimis gravius confunduntur. Gregorius in Moralia. Plerumque latet superbia et castitas innotescit atque ideo renata diu castitas//.|Explicit, f. 1 recto and verso, torn: //<first line not legible> Quid prodest dispergendo dare pauperibus, pauperem fieri cum anima misera superbior efficitur divicias contempnendo quam fuerat possidendo? Augustinus in <libro ?> clericorum. Humilitas homines sanctis angelis."
"1 strip, front and back: Book 7, section 5, ""De dediticia libertate tollenda "" and Book 7, section 6, ""De latina libertate tollenda"" (this rubric on Side 2, column 2): Side 1, column 1: //<Notandum quoque> est quod ex equitate libertatum gratia <favor constitutionis> divi marci qui bonorum addictionem induxit. . . . que libertates directas rescindit <ex eventu et consilio, fidecommis>sarias ex eventu solo videlicet ff. e. Si quis. Et// Side 1, column 2: //ab initio sit consecutus. Idem fi<?> si legatum <?> creverit post ea. V. ff. Generaliter. Ex testamento. Quid ergo redimere et manumittere dominus quoque velit manumittere dominus preteriri debebit . . . Item is qui rogatus est manumittere etiam eo tempore quo prohibitur alienare, poterit manumittere// Side 2, column 1: <scrip>// sit. Idem Si testatorator non ascripta libertate servum alienum putans alienum <hole in parch.> tutorem filiis suis ordinaverit ut C. 1 Et si. Relinquitur in voluntate ultima tali quali non contraria iuri, hoc tamen Ista si voluntas duraverit . . . Si ab herede scripto omisso testamento ab intestato. Idem. Si institutus per colludi<um>// Side 2, column 2: //conditiones dedicia et latina <dicamus primum> de conditione deditia non confirmanda sed to<llenda. Deditii erant . . . De latina libertate tollenda. Sequitur ut dicamus de latina libertate tol<lenda non penitus sed> per certos modos in civitatem romanam transfusa. <Latini hi errant> qui vivebant tamquam liberi morientes fi<ebant servi et nos> latinos in regionem longinquam mittimus//.|Incipit, 1 strip, front and back: <Latini hi errant> qui vivebant tamquam liberi morientes fi<ebant servi et nos> latinos in regionem longinquam mittimus//.|Explicit, 1 strip, front and back: //<Notandum quoque> est quod ex equitate libertatum gratia <favor constitutionis> divi marci qui bonorum addictionem induxit.","1 strip, front and back: Book 7, section 5, ""De dediticia libertate tollenda "" and Book 7, section 6, ""De latina libertate tollenda"" (this rubric on Side 2, column 2): Side 1, column 1: //<Notandum quoque> est quod ex equitate libertatum gratia <favor constitutionis> divi marci qui bonorum addictionem induxit. . . .|{Side 1, column 1} que libertates directas rescindit <ex eventu et consilio, fidecommis>sarias ex eventu solo videlicet ff. e. Si quis. Et// Side 1, column 2: //ab initio sit consecutus. Idem fi<?> si legatum <?> creverit post ea. V. ff. Generaliter. Ex testamento. Quid ergo redimere et manumittere dominus quoque velit manumittere dominus preteriri debebit . . . |{Side 1, column 2} Item is qui rogatus est manumittere etiam eo tempore quo prohibitur alienare, poterit manumittere//|Side 2, column 1: <scrip>// sit. Idem Si testatorator non ascripta libertate servum alienum putans alienum <hole in parch.> tutorem filiis suis ordinaverit ut C. 1 Et si. Relinquitur in voluntate ultima tali quali non contraria iuri, hoc tamen Ista si voluntas duraverit . . . Si ab herede scripto omisso testamento ab intestato. Idem. Si institutus per colludi<um>//|Side 2, column 2: //conditiones dedicia et latina <dicamus primum> de conditione deditia non confirmanda sed to<llenda. Deditii erant . . . De latina libertate tollenda. Sequitur ut dicamus de latina libertate tol<lenda non penitus sed> per certos modos in civitatem romanam transfusa.|{Side 2, column 2} <Latini hi errant> qui vivebant tamquam liberi morientes fi<ebant servi et nos> latinos in regionem longinquam mittimus//.|Incipit, 1 strip, front and back: <Latini hi errant> qui vivebant tamquam liberi morientes fi<ebant servi et nos> latinos in regionem longinquam mittimus//.|Explicit, 1 strip, front and back: //<Notandum quoque> est quod ex equitate libertatum gratia <favor constitutionis> divi marci qui bonorum addictionem induxit."
"152 x 112 (73 cx 65) mm.: Ms.|152 x 112 (73 cx 65) mm.: In Latin. Written in lettre batarde.|152 x 112 (73 cx 65) mm.: Numerous decorated initials (1 and 2 lines) in burnished gold and red and blue. Eight pages have a full floral border in burnished and flat gold and colors.|152 x 112 (73 cx 65) mm.: Later manuscript notes and inscriptions (16th and 17th centuries), including 8 pages at end, relating to the family of Jehan Baptiste de Villebuchot.|152 x 112 (73 cx 65) mm.: Binding: contemporary full brown calf (rebacked), with blind tooled strapwork border and a frame of a repeated stamp of the Virgin and child enclosing a pattern of ruled lozenges and small floral stamps.|152 x 112 (73 cx 65) mm.: Contents: ff. i-iv verso: blank; ff. 1-12v: calendar (in French), Use of Cambrai; ff. 13-13v: blank; ff. 14-16v: Prayer of the Duke of Burgundy: ""Oracio domini ducis Burgondie qui debet dici cothidie et est valde devote et pulcherrima et est scripta per manus domini de Burgondia sui primi philozophi et est talis/ Domine sancte pater omnipotens eterne deus qui enoch.../ ...Inimicorum suotum hodierna die liberare di[ ]neris. Per dominum nostrum ihesum christum amen""; ff. 17-26: Evangelist readings; ff. 26v-28v: blank; ff. 29-33v: Obsecro te; ff. 33v-38v: O intemerata; ff. 38v-41v: Piissime et redemptor; ff. 41v-43v: Pietate tua quaesumus; ff. 44-44v: blank; ff. 45-108v: Hours of the Virgin (Use undetermined, possibly Rome); ff. 109-132v: Penitential Psalms and Litany; ff. 132-135: St. Bernard's Meditation on the Seven Last Words; ff. 135v-142: prayers; f. 142v: blank; ff. 143-145: Salutations to the Virgin from the Apostles: ""Expertum est in vision florida quod sancti apostolic salutabant beatam virginem mariam.../Petrus/ Salva mater salvatoris/Que decorum deum paris.../...Omnes appostoli/Per te supplices exoramus/ Omnis ad te suspiramus/ Te videre valeamus/ In seculorum secula Amen.""; ff. 146-187: prayers to the Virgin, Angels, Archangels, et al.; ff. 187-190v: supplications of John the Evangelist and John the Baptist; ff. 191-193v: prayers to the Apostle; ff. 193v-197v: Hymn to St. Paul: ""O celestas dubitor aule/ Magne predicator paule...""; ff. 198-201: Prayers to the Virgin; ff. 201v-206v: ""Domine deus sabaoth""; ff. 207-207v: blank; ff. 208-219: Prayers to Christ; ff. 210- : Prayer of St. Thomas Aquinas: ""Concede mihi misericors.../ ...Tuis gaudiis frui per gloriam. Amen.""; f. 222v-four final flyleaves: originally blank, now with 16th- and 17th-century annotations concerning the de Villebuchot family.","152 x 112 (73 cx 65) mm.: Ms.|152 x 112 (73 cx 65) mm.: In Latin. Written in lettre batarde.|152 x 112 (73 cx 65) mm.: Numerous decorated initials (1 and 2 lines) in burnished gold and red and blue. Eight pages have a full floral border in burnished and flat gold and colors.|152 x 112 (73 cx 65) mm.: Later manuscript notes and inscriptions (16th and 17th centuries), including 8 pages at end, relating to the family of Jehan Baptiste de Villebuchot.|152 x 112 (73 cx 65) mm.: Binding: contemporary full brown calf (rebacked), with blind tooled strapwork border and a frame of a repeated stamp of the Virgin and child enclosing a pattern of ruled lozenges and small floral stamps.|152 x 112 (73 cx 65) mm.:|Contents: ff. i-iv verso: blank; ff. 1-12v: calendar (in French), Use of Cambrai; ff. 13-13v: blank;|ff. 14-16v: Prayer of the Duke of Burgundy: ""Oracio domini ducis Burgondie qui debet dici cothidie et est valde devote et pulcherrima et est scripta per manus domini de Burgondia sui primi philozophi et est talis/ Domine sancte pater omnipotens eterne deus qui enoch.../ ...Inimicorum suotum hodierna die liberare di[ ]neris. Per dominum nostrum ihesum christum amen"";|ff. 17-26: Evangelist readings; ff. 26v-28v: blank; ff. 29-33v: Obsecro te; ff. 33v-38v: O intemerata; ff. 38v-41v: Piissime et redemptor; ff. 41v-43v: Pietate tua quaesumus; ff. 44-44v: blank; ff. 45-108v: Hours of the Virgin (Use undetermined, possibly Rome); ff. 109-132v: Penitential Psalms and Litany; ff. 132-135: St. Bernard's Meditation on the Seven Last Words;|ff. 135v-142: prayers; f. 142v: blank; ff. 143-145: Salutations to the Virgin from the Apostles: ""Expertum est in vision florida quod sancti apostolic salutabant beatam virginem mariam.../Petrus/ Salva mater salvatoris/Que decorum deum paris.../...Omnes appostoli/Per te supplices exoramus/ Omnis ad te suspiramus/ Te videre valeamus/ In seculorum secula Amen."";|ff. 146-187: prayers to the Virgin, Angels, Archangels, et al.; ff. 187-190v: supplications of John the Evangelist and John the Baptist; ff. 191-193v: prayers to the Apostle; ff. 193v-197v: Hymn to St. Paul: ""O celestas dubitor aule/ Magne predicator paule...""; ff. 198-201: Prayers to the Virgin; ff. 201v-206v: ""Domine deus sabaoth""; ff. 207-207v: blank; ff. 208-219: Prayers to Christ;|ff. 210- : Prayer of St. Thomas Aquinas: ""Concede mihi misericors.../ ...Tuis gaudiis frui per gloriam. Amen.""; f. 222v-four final flyleaves: originally blank, now with 16th- and 17th-century annotations concerning the de Villebuchot family."
"2 scraps, recto and verso each: Part 1 (the only piece given in the fields for incipit and explicit): //Est antempna rudens armentum iu[ngitur istis] / Dic a rudo rudens fidicen fidis et [cano format] . . . Fiscina fiscella quo [casus efficiatur]// (PL 150:1583C); Part 2: //[Dic consortia] contubernia dicque choream / [Turma phalanx] acies societur cuneus istis . . . [Cymbala, campana, nola] tinctinabula iungas// (PL 150:1583D); Part 3: [Insanus, vehemens, vecors,] vesanus et excors / [Secors et demens bachans et] stultus et amens . . . [Interimit, perimit, interficit et] necat, occat// (PL 150:1585D); Part 4: //Addatur cautis que sepe fit [obivia nautis] / Est chorus et stratum lectus q[uoreuma grabatum] . . . Subligar est ligula caligas que subligat alte// (PL 150: 1586B).|Incipit, 2 scraps, recto and verso each: Fiscina fiscella quo [casus efficiatur]//.|Explicit, 2 scraps, recto and verso each: //Est antempna rudens armentum iu[ngitur istis] / Dic a rudo rudens fidicen fidis et [cano format].","2 scraps, recto and verso each: Part 1 (the only piece given in the fields for incipit and explicit): //Est antempna rudens armentum iu[ngitur istis] / Dic a rudo rudens fidicen fidis et [cano format] . . . Fiscina fiscella quo [casus efficiatur]// (PL 150:1583C);|Part 2: //[Dic consortia] contubernia dicque choream / [Turma phalanx] acies societur cuneus istis . . . [Cymbala, campana, nola] tinctinabula iungas// (PL 150:1583D); Part 3: [Insanus, vehemens, vecors,] vesanus et excors / [Secors et demens bachans et] stultus et amens . . . [Interimit, perimit, interficit et] necat, occat// (PL 150:1585D);|Part 4: //Addatur cautis que sepe fit [obivia nautis] / Est chorus et stratum lectus q[uoreuma grabatum] . . . Subligar est ligula caligas que subligat alte// (PL 150: 1586B).|Incipit, 2 scraps, recto and verso each: Fiscina fiscella quo [casus efficiatur]//.|Explicit, 2 scraps, recto and verso each: //Est antempna rudens armentum iu[ngitur istis] / Dic a rudo rudens fidicen fidis et [cano format]."
"2 strips: Nota: here the two strips are designated as n. 1 and n. 2; both are from the same 2-column ms; the sides (1 and 2) have been assigned arbitrarily: they may come from one leaf or from different leaves, nor is it known which side of which numbered strip precedes the other side.|Strips 1-2 verso: Strip 1, side 1, col. 1: //causas orphanorum et viduarum relinquentes. circumstanciis mentis causam corrumpunt . . . Quosdam regit ex in particionis scilicet scismaticos et rebelles quique particionem faciunt quando// Strip 1, side 1, col. 2: //coniuncta sunt, unde dicit Aristoteles <?> idem sunt substantiam . . . probos scilicet quod verbum dicitur a verberatu aeris unde ecc<?>// Strip 1, side 2, col. 1: // non implebitur pecunia. Nam inicium tanto est periculosius quanti hominem relinquit . . . quam venienter cogitat, cum non possum amplius// Strip 1, side 2, col. 2: //processus christi. Ecce qualiter resoluebat usque ad summam paupertatem, ex quo patet quod antichristus . . . sit igitur paupertatem in vita <?> ostendit et eam predicando commendavit// Strip 2, side 1, col. 1: //habentes unde ad superbum dicitur Iob. Cur te elevat cor tuum et quasi magna cogitans . . . Ex quo patet qualiter <venire? in?> distitulit. De ad <parch torn>dici ut sanaret languores// Strip 2, side 1, col. 2: //venit medicus in max<cropped> <?> medicus discrepans qui fere omnes pompatici sunt et superbi . . . Medicus autem noster non solum verberari sed occidi noluit; solent alii medici <cropped?> noster curam suorum// Strip 2, side 2, col. 1: //<cum transi>ret ihesus vidit hominem sedentem in theloneo et dixit sequere me. Ecce qualiter verbum nostrum transit . . . fecerunt apostoli unde et de aliis dicit petrus, secuti sumus te. Et <dominus>// Strip 2, side 2, col. 2: //aer cedit impellenti, tales it< ?>tores temptacionibus non resistentes . . . Idem dico de omnibus subplantatoribus omnis tales sencient <?>tacionem s<?>am. Istis n///.","2 strips: Nota: here the two strips are designated as n. 1 and n. 2; both are from the same 2-column ms; the sides (1 and 2) have been assigned arbitrarily: they may come from one leaf or from different leaves, nor is it known which side of which numbered strip precedes the other side.|Strips 1-2 verso: Strip 1, side 1, col. 1: //causas orphanorum et viduarum relinquentes. circumstanciis mentis causam corrumpunt . . . Quosdam regit ex in particionis scilicet scismaticos et rebelles quique particionem faciunt quando//|Strip 1, side 1, col. 2: //coniuncta sunt, unde dicit Aristoteles <?> idem sunt substantiam . . . probos scilicet quod verbum dicitur a verberatu aeris unde ecc<?>// Strip 1, side 2, col. 1: // non implebitur pecunia. Nam inicium tanto est periculosius quanti hominem relinquit . . . quam venienter cogitat, cum non possum amplius//|Strip 1, side 2, col. 2: //processus christi. Ecce qualiter resoluebat usque ad summam paupertatem, ex quo patet quod antichristus . . . sit igitur paupertatem in vita <?> ostendit et eam predicando commendavit//|Strip 2, side 1, col. 1: //habentes unde ad superbum dicitur Iob. Cur te elevat cor tuum et quasi magna cogitans . . . Ex quo patet qualiter <venire? in?> distitulit. De ad <parch torn>dici ut sanaret languores//|Strip 2, side 1, col. 2: //venit medicus in max<cropped> <?> medicus discrepans qui fere omnes pompatici sunt et superbi . . . Medicus autem noster non solum verberari sed occidi noluit; solent alii medici <cropped?> noster curam suorum//|Strip 2, side 2, col. 1: //<cum transi>ret ihesus vidit hominem sedentem in theloneo et dixit sequere me. Ecce qualiter verbum nostrum transit . . . fecerunt apostoli unde et de aliis dicit petrus, secuti sumus te. Et <dominus>//|Strip 2, side 2, col. 2: //aer cedit impellenti, tales it< ?>tores temptacionibus non resistentes . . . Idem dico de omnibus subplantatoribus omnis tales sencient <?>tacionem s<?>am. Istis n///."
"3 strips, recto and verso: The three strips of parchment could derive from a single sheet of parchment, but they lack at least one more or possibly two more strips to complete the leaf.|3 strips, recto and verso: This appears to be a fuller version of the Liber glossarum as made available online by Anne Grondeux and Franck Cinato, eds., Liber glossarum digital, Paris, 2016 (http://liber-glossarum.huma-num.fr). The three strips here include words beginning with ""eri"" through ""ess"" (""Ericthonius"" through ""Essendum"", on the hair side), with ""ess"" through ""evo"" (""Esset co<?>"" through ""Evocatio o<?>"" on the flesh side), and with ""evo"" through ""exa"" (""Evolavit elap<?>"" through ""Examinatus diru<?>"" on the flesh side).|Incipit, 3 strips, recto and verso: Exanclandi, pera<gere>; Exanclare, exha<urire>; Examinatus diru<?>//.|Explicit, 3 strips, recto and verso: //Ericthonius, Rex atheniensium <?>; Ericthonius, primum quattuor equ<?>; Erilis Dominicus <?>.","3 strips, recto and verso: The three strips of parchment could derive from a single sheet of parchment, but they lack at least one more or possibly two more strips to complete the leaf.|3 strips, recto and verso: This appears to be a fuller version of the Liber glossarum as made available online by Anne Grondeux and Franck Cinato, eds., Liber glossarum digital, Paris, 2016 (http://liber-glossarum.huma-num.fr).|The three strips here include words beginning with ""eri"" through ""ess"" (""Ericthonius"" through ""Essendum"", on the hair side), with ""ess"" through ""evo"" (""Esset co<?>"" through ""Evocatio o<?>"" on the flesh side), and with ""evo"" through ""exa"" (""Evolavit elap<?>"" through ""Examinatus diru<?>"" on the flesh side).|Incipit, 3 strips, recto and verso: Exanclandi, pera<gere>; Exanclare, exha<urire>; Examinatus diru<?>//.|Explicit, 3 strips, recto and verso: //Ericthonius, Rex atheniensium <?>; Ericthonius, primum quattuor equ<?>; Erilis Dominicus <?>."
"A member of the Bernardi family of Florence, with their arms on fol. 1r (Rietstap 1884, I, p. 179), flanked by the initials ‘C’ and ‘B’; L. S. Olschki, Bulletin mensuel 51 (January 1905), no. 1291; Ellis of Bond Street, their cat. 1919, at £63; Ernst F. Detterer (1888-1947); bought from Detterer’s estate in 1948 by George A. Poole, and acquired by the Lilly Library with the Poole Collection in 1958.","A member of the Bernardi family of Florence, with their arms on fol. 1r (Rietstap 1884, I, p. 179), flanked by the initials ‘C’ and ‘B’; L. S. Olschki, Bulletin mensuel 51 (January 1905), no. 1291;|Ellis of Bond Street, their cat. 1919, at £63; Ernst F. Detterer (1888-1947); bought from Detterer’s estate in 1948 by George A. Poole, and acquired by the Lilly Library with the Poole Collection in 1958."
"Étienne de Loypeau, bishop of Luçon 1388-1407; Louis d’Harcourt, patriarch of Jerusalem and bishop of Bayeux 1460-79, who on 12 April 1474 gave it to the cathedral of Bayeux; recorded in the inventory of the cathedral treasury in 1476, ""Premièrement, ung excellent missel, portant tout l’office pontifical . . . (Delisle 1887, p. 434); leaves (including those here) were lost by at least 1887; these leaves bought by C. L. Ricketts in Paris from Lemallier, 1907, and acquired by the Lilly Library with the Ricketts Collection in 1961.","Étienne de Loypeau, bishop of Luçon 1388-1407; Louis d’Harcourt, patriarch of Jerusalem and bishop of Bayeux 1460-79, who on 12 April 1474 gave it to the cathedral of Bayeux; recorded in the inventory of the cathedral treasury in 1476, ""Premièrement, ung excellent missel, portant tout l’office pontifical . . . (Delisle 1887, p. 434);|leaves (including those here) were lost by at least 1887; these leaves bought by C. L. Ricketts in Paris from Lemallier, 1907, and acquired by the Lilly Library with the Ricketts Collection in 1961."
"According to a sixteenth-century Latin poem formerly pasted inside the manuscript’s upper cover, the volume was transferred in 1504 from the Benedictine abbey of St. Peter in Salzburg, to the Cistercian abbey of Raitenhaslach, Bavaria (founded 1143, suppressed in 1803); the Benedictine abbey of Seitenstetten, Lower Austria (founded 1112, still functioning); sold by the monks in about 1926, probably to Jacques Rosenthal of Munich, and taken apart, the leaves with miniatures being dispersed by Maggs; this leaf, Maggs cat. 512 (1928), no. 291; C. L. Ricketts; acquired by the Lilly Library with the Ricketts Collection in 1961.","According to a sixteenth-century Latin poem formerly pasted inside the manuscript’s upper cover, the volume was transferred in 1504 from the Benedictine abbey of St. Peter in Salzburg, to the Cistercian abbey of Raitenhaslach, Bavaria (founded 1143, suppressed in 1803);|the Benedictine abbey of Seitenstetten, Lower Austria (founded 1112, still functioning); sold by the monks in about 1926, probably to Jacques Rosenthal of Munich, and taken apart, the leaves with miniatures being dispersed by Maggs; this leaf, Maggs cat. 512 (1928), no. 291; C. L. Ricketts; acquired by the Lilly Library with the Ricketts Collection in 1961."
