subject_as_recorded,subfield_codes,vocab,source_authority_uri,authorized_label,structured_value
10th century,,openn-keywords,,Tenth century,http://id.worldcat.org/fast/1147737
11th century,,openn-keywords,,Eleventh century,http://id.worldcat.org/fast/908096
12th century,,openn-keywords,,Twelfth century,http://id.worldcat.org/fast/1159791
13th century,,openn-keywords,,Thirteenth century,http://id.worldcat.org/fast/1150138
14th century,,openn-keywords,,Fourteenth century,http://id.worldcat.org/fast/933420
15th century,,openn-keywords,,Fifteenth century,http://id.worldcat.org/fast/923962
16th century,,openn-keywords,,Sixteenth century,http://id.worldcat.org/fast/1119851
17th century,,openn-keywords,,Seventeenth century,http://id.worldcat.org/fast/1113663
18th century,,openn-keywords,,Eighteenth century,http://id.worldcat.org/fast/904058
19th century,,openn-keywords,,Nineteenth century,http://id.worldcat.org/fast/1037841
20th century,,openn-keywords,,Twentieth century,http://id.worldcat.org/fast/1159810
9th century,,openn-keywords,,Ninth century,http://id.worldcat.org/fast/1037854
<<<<<<< Updated upstream
=======
>>>>>>> Stashed changes
Abbasids,a,fast,(OCoLC)fst00794211,Abbasids,http://id.worldcat.org/fast/794211
Abbasids--Poetry--Early works to 1800,a--v--v,0,,Abbasids;Poetry;Early works,http://id.worldcat.org/fast/794211;http://id.worldcat.org/fast/1423828;http://id.worldcat.org/fast/1411636
Abbasids--Poetry--Early works to 1800.,a--v--v,0,,Abbasids;Poetry;Early works,http://id.worldcat.org/fast/794211;http://id.worldcat.org/fast/1423828;http://id.worldcat.org/fast/1411636
Abbasids.,a,fast,(OCoLC)fst00794211,Abbasids,http://id.worldcat.org/fast/794211
Abbots,a,fast,http://id.worldcat.org/fast/794221,Abbots,http://id.worldcat.org/fast/794221
Abbots--Early works to 1800,a--v,0,,Abbots;Early works,http://id.worldcat.org/fast/794221;http://id.worldcat.org/fast/1411636
Abbots--Early works to 1800.,a--v,0,,Abbots;Early works,http://id.worldcat.org/fast/794221;http://id.worldcat.org/fast/1411636
Abbots.,a,fast,http://id.worldcat.org/fast/794221,Abbots,http://id.worldcat.org/fast/794221
Ablutions (Islamic law),a,fast,(OCoLC)fst01748813,Ablutions (Islamic law),http://id.worldcat.org/fast/1748813
Ablutions (Islamic law)--Early works to 1800,a--v,0,(uri) http://id.loc.gov/authorities/subjects/sh2009007624,Ablutions (Islamic law);Early works,http://id.worldcat.org/fast/1748813;http://id.worldcat.org/fast/1411636
Ablutions (Islamic law)--Early works to 1800,a--v,0,,Ablutions (Islamic law);Early works,http://id.worldcat.org/fast/1748813;http://id.worldcat.org/fast/1411636
Ablutions (Islamic law)--Early works to 1800.,a--v,0,,Ablutions (Islamic law);Early works,http://id.worldcat.org/fast/1748813;http://id.worldcat.org/fast/1411636
Ablutions (Islamic law)--Early works to 1800.,a--v,0,(uri) http://id.loc.gov/authorities/subjects/sh2009007624,Ablutions (Islamic law);Early works,http://id.worldcat.org/fast/1748813;http://id.worldcat.org/fast/1411636
Abraham (Biblical patriarch) in the Qurʼan,a,fast,(OCoLC)fst01864769,Abraham (Biblical patriarch) in the Qurʼan,http://id.worldcat.org/fast/1864769
Account books--Great Britain--19th century,a--z--y,0,,Account books;Great Britain;Nineteenth century,http://id.worldcat.org/fast/795342;http://id.worldcat.org/fast/1204623;http://id.worldcat.org/fast/1037841
Accounting,a,fast,http://id.worldcat.org/fast/795379,Accounting,http://id.worldcat.org/fast/795379
Accounting--France--14th century,a--z--y,0,,Accounting;France;Fourteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/933420
Accounting--France--14th century.,a--z--y,0,,Accounting;France;Fourteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/933420
Accounting--Germany--16th century,a--z--y,0,,Accounting;Germany;Sixteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1210272;http://id.worldcat.org/fast/1119851
Accounting--Germany--16th century.,a--z--y,0,,Accounting;Germany;Sixteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1210272;http://id.worldcat.org/fast/1119851
Accounting--Italy--15th century,a--z--y,0,,Accounting;Italy;Fifteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/923962
Accounting--Italy--15th century.,a--z--y,0,,Accounting;Italy;Fifteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/923962
Accounting--Italy--16th century,a--z--y,0,,Accounting;Italy;Sixteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1119851
Accounting--Italy--16th century.,a--z--y,0,,Accounting;Italy;Sixteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1119851
Accounting--Italy--17th century,a--z--y,0,,Accounting;Italy;Seventeenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1113663
Accounting--Italy--17th century.,a--z--y,0,,Accounting;Italy;Seventeenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1113663
Accounting--Spain--16th century,a--z--y,0,,Accounting;Spain;Sixteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1119851
Accounting--Spain--16th century.,a--z--y,0,,Accounting;Spain;Sixteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1119851
Accounting.,a,fast,http://id.worldcat.org/fast/795379,Accounting,http://id.worldcat.org/fast/795379
Accounts,a,aat,http://vocab.getty.edu/aat/300145802,accounts,http://vocab.getty.edu/aat/300145802
Accounts.,a,aat,http://vocab.getty.edu/aat/300145802,accounts,http://vocab.getty.edu/aat/300145802
"Acre (Israel)--History--Siege, 1799",a--x--y,0,,"Israel--Acre;History;Siege of Acre (Acre, Israel : 1799)",http://id.worldcat.org/fast/1207296;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1354712
"Acre (Israel)--History--Siege, 1799.",a--x--y,0,,"Israel--Acre;History;Siege of Acre (Acre, Israel : 1799)",http://id.worldcat.org/fast/1207296;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1354712
Acrostics,a,fast,http://id.worldcat.org/fast/796098,Acrostics,http://id.worldcat.org/fast/796098
Acrostics--Early works to 1800,a--v,0,,Acrostics;Early works,http://id.worldcat.org/fast/796098;http://id.worldcat.org/fast/1411636
Acrostics--Early works to 1800.,a--v,0,,Acrostics;Early works,http://id.worldcat.org/fast/796098;http://id.worldcat.org/fast/1411636
Acrostics.,a,fast,http://id.worldcat.org/fast/796098,Acrostics,http://id.worldcat.org/fast/796098
Actions and defenses,a,fast,http://id.worldcat.org/fast/796238,Actions and defenses,http://id.worldcat.org/fast/796238
Actions and defenses--Italy--Milan--15th century,a--z--z--y,0,,Actions and defenses;Italy--Milan;Fifteenth century,http://id.worldcat.org/fast/796238;http://id.worldcat.org/fast/1208698;http://id.worldcat.org/fast/923962
Actions and defenses--Italy--Milan--15th century.,a--z--z--y,0,,Actions and defenses;Italy--Milan;Fifteenth century,http://id.worldcat.org/fast/796238;http://id.worldcat.org/fast/1208698;http://id.worldcat.org/fast/923962
Actions and defenses.,a,fast,http://id.worldcat.org/fast/796238,Actions and defenses,http://id.worldcat.org/fast/796238
Acupuncture points--Early works to 1800,a--v,0,,Acupuncture points;Early works,http://id.worldcat.org/fast/796375;http://id.worldcat.org/fast/1411636
Acupuncture points--Early works to 1800.,a--v,0,,Acupuncture points;Early works,http://id.worldcat.org/fast/796375;http://id.worldcat.org/fast/1411636
Acupuncture--Early works to 1800,a--v,0,,Acupuncture;Early works,http://id.worldcat.org/fast/796357;http://id.worldcat.org/fast/1411636
Acupuncture--Early works to 1800.,a--v,0,,Acupuncture;Early works,http://id.worldcat.org/fast/796357;http://id.worldcat.org/fast/1411636
Adhan,a,fast,(OCoLC)fst01742302,Adhan,http://id.worldcat.org/fast/1742302
Adhan--Early works to 1800,a--v,0,,Adhan;Early works,http://id.worldcat.org/fast/1742302;http://id.worldcat.org/fast/1411636
