language_as_recorded,language_code,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
;;;,|||,,,,undetermined language,Q22282914,Q12714
;ara,;ara,,,,Arabic,Q13955,Q118
;ara;ota,;ara;ota,,,,Arabic;Ottoman Turkish,Q13955;Q36730,Q118;Q3104
;ara;ota;per,;ara;ota;per,,,,Arabic;Ottoman Turkish;Persian,Q13955;Q36730;Q9168,Q118;Q3104;Q120
;ara;per,;ara;per,,,,Arabic;Persian,Q13955;Q9168,Q118;Q120
;cop,;cop,,,,Coptic,Q36155,Q4335
;dut,;dut,,,,Dutch,Q7411,Q793
;eng,;eng,,,,English,Q1860,Q109
;frm;ita,;frm;ita,,,,Middle French;Italian,Q1473289;Q652,Q110;Q116
;ger,;ger,,,,German,Q188,Q112
;grc,;grc,,,,Ancient Greek,Q35497,Q3103
;ita;gre,;ita;gre,,,,Italian;Greek,Q652;Q9129,Q116;Q1318
;lat,;lat,,,,Latin,Q397,Q113
[English],,,,,English,Q1860,Q109
[French],,,,,French,Q150,Q111
[Latin],,,,,Latin,Q397,Q113
[no text],,,,,no linguistic content,Q22282939,Q16428
|||,|||,,,,undetermined language,Q22282914,Q12714
1st work in Latin; 2nd work in Italian,,Latin;Italian,Q397;Q652,Q113;Q116,Latin;Italian,Q397;Q652,Q113;Q116
Added notes in Italian (Volume 1),zxx;ita,,,,Italian,Q652,Q116
"All texts are in Ottoman Turkish (including those whose titles are given in Arabic), with the exception of small sections in Arabic in cases of excerpts from Futūḥāt al-Makkīyah",,,,,Ottoman Turkish;Arabic,Q36730;Q13955,Q3104;Q118
amh,,,,,Amharic,Q28244,Q42444
Ancient Greek,grc,,,,Ancient Greek,Q35497,Q3103
Ancient Greek (to 1453),grc,,,,Ancient Greek,Q35497,Q3103
ang,ang,,,,Old English,Q42365,Q1317
Anglo-Norman,xno,,,,Anglo-Norman,Q35214,Q1315
Anglo-Norman,,,,,Anglo-Norman,Q35214,Q1315
Anglo-Norman; English; Latin,,,,,Anglo-Norman;English;Latin,Q35214;Q1860;Q397,Q1315;Q109;Q113
Anglo-Norman; Latin,,,,,Anglo-Norman;Latin,Q35214;Q397,Q1315;Q113
"Anglo-Norman dialect, translated by Wace in 1155 from Geoffrey of Monmouth's Historia regum Britanniae",,,,,Anglo-Norman,Q35214,Q1315
Anglo-Norman French; Middle English,,,,,Anglo-Norman;Middle English,Q35214;Q36395,Q1315;Q119
Anglo-Saxon,,,,,Old English,Q42365,Q1317
Anglo-Saxon; Latin,,,,,Old English;Latin,Q42365;Q397,Q1317;Q113
ar,ar,,,,Arabic,Q13955,Q118
ara,,,,,Arabic,Q13955,Q118
ara,ara,,,,Arabic,Q13955,Q118
ara;cop,ara;cop,,,,Arabic;Coptic,Q13955;Q36155,Q118;Q4335
ara;ota,ara;ota,,,,Arabic;Ottoman Turkish,Q13955;Q36730,Q118;Q3104
ara;per,ara;per,,,,Arabic;Persian,Q13955;Q9168,Q118;Q120
ara;per;ota,ara;per;ota,,,,Arabic;Persian;Ottoman Turkish,Q13955;Q9168;Q36730,Q118;Q120;Q3104
Arabic,,,,,Arabic,Q13955,Q118
Arabic,ara;eng,,,,Arabic,Q13955,Q118
Arabic,ara,,,,Arabic,Q13955,Q118
"Arabic, Persian, and Ottoman Turkish",,,,,Arabic;Persian;Ottoman Turkish,Q13955;Q9168;Q36730,Q118;Q120;Q3104
