File,material_as_recorded,authorized_label,structured_value,ds_qid
materials.csv,?,undetermined,http://vocab.getty.edu/aat/300379012,Q38412
materials.csv,"""Chancery 2������ paper""",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"""embroidered silk over parchment""",silk;parchment,http://vocab.getty.edu/aat/300014072;http://vocab.getty.edu/aat/300011851,Q34;Q33
materials.csv,"""fine vellum""",parchment,http://vocab.getty.edu/aat/300011851,Q33
materials.csv,"""on cloth""",cloth,http://vocab.getty.edu/aat/300162391,Q26528
materials.csv,"""paper, charts""",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"""paper, color, illustrations""",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"""paper, color coats of arms""",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"""paper, colored illustrations""",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"""paper, color illustrations, coats of arms""",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"""paper, color illustrations, music""",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"""paper, color illustrations""",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"""paper, ill., charts""",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"""paper, ill., maps, diagrams""",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"""paper, ill., music""",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"""paper, ill""",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"""paper, illumination""",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"""paper, illuminations, maps, charts""",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"""paper, illuminations""",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"""paper, illustrated""",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"""paper, illustration""",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"""paper, illustrations, illuminations""",paper,http://vocab.getty.edu/aat/300014109,Q31
materials.csv,"""paper, illustrations, music""",paper,http://vocab.getty.edu/aat/300014109,Q31
