place_as_recorded,authorized_label,structured_value,ds_qid
", Low Countries",Low Countries,http://vocab.getty.edu/tgn/7029439,Q1115
?,undetermined,http://vocab.getty.edu/tgn/7544559,Q650
[Austria] :,Austria,http://vocab.getty.edu/tgn/1000062,Q132
[Benelux countries] :,Low Countries,http://vocab.getty.edu/tgn/7029439,Q1115
"[Bologna, Italy] :",Bologna;Italy,http://vocab.getty.edu/tgn/7004847;http://vocab.getty.edu/tgn/1000080,Q3087;Q134
"[Burgos?, Spain],",Burgos;Spain,http://vocab.getty.edu/tgn/7007510;http://vocab.getty.edu/tgn/1000095,Q12698;Q129
"[Central Europe],",Central Europe,http://vocab.getty.edu/tgn/4003755,Q5945
[Central Europe] :,Central Europe,http://vocab.getty.edu/tgn/4003755,Q5945
[England] ;,England,http://vocab.getty.edu/tgn/7002445,Q133
[England] :,England,http://vocab.getty.edu/tgn/7002445,Q133
"[Ethiopia],",Ethiopia,http://vocab.getty.edu/tgn/7000489,Q3655
"[Florence, Italy?] ;",Florence;Italy,http://vocab.getty.edu/tgn/7000457;http://vocab.getty.edu/tgn/1000080,Q3084;Q134
"[Florence, Italy] :",Florence;Italy,http://vocab.getty.edu/tgn/7000457;http://vocab.getty.edu/tgn/1000080,Q3084;Q134
"[France,",France,http://vocab.getty.edu/tgn/1000070,Q122
[France]:,France,http://vocab.getty.edu/tgn/1000070,Q122
[France] :,France,http://vocab.getty.edu/tgn/1000070,Q122
[France or Italy] :,France;Italy,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/1000080,Q122;Q134
"[Genoa, Italy] :",Genoa;Italy,http://vocab.getty.edu/tgn/7008546;http://vocab.getty.edu/tgn/1000080,Q7800;Q134
[Germany]:,Germany,http://vocab.getty.edu/tgn/7000084,Q131
[Germany] :,Germany,http://vocab.getty.edu/tgn/7000084,Q131
"[Italy],",Italy,http://vocab.getty.edu/tgn/1000080,Q134
[Italy]:,Italy,http://vocab.getty.edu/tgn/1000080,Q134
[Italy] :,Italy,http://vocab.getty.edu/tgn/1000080,Q134
[Korea] :,Korea,http://vocab.getty.edu/tgn/7059230,Q12696
"[Lincolnshire, England] :",Lincolnshire;England,http://vocab.getty.edu/tgn/7008157;http://vocab.getty.edu/tgn/7002445,Q38229;Q133
"[Lisbon, Portugal] :",Lisbon;Portugal,http://vocab.getty.edu/tgn/7010978;http://vocab.getty.edu/tgn/1000090,Q38230;Q19906
"[Morimondo, Italy],",Morimondo;Italy,http://vocab.getty.edu/tgn/4007527;http://vocab.getty.edu/tgn/1000080,Q12692;Q134
"[Morimondo, Italy] :",Morimondo;Italy,http://vocab.getty.edu/tgn/4007527;http://vocab.getty.edu/tgn/1000080,Q12692;Q134
[Netherlands] :,Netherlands,http://vocab.getty.edu/tgn/7016845,Q651
"[Picady, France] :",Picardy;France,http://vocab.getty.edu/tgn/7024273;http://vocab.getty.edu/tgn/1000070,Q859;Q122
"[Piombino?, Italy] :",Piombino;Italy,http://vocab.getty.edu/tgn/7006194;http://vocab.getty.edu/tgn/1000080,Q38281;Q134
"[Rome, Italy],",Rome;Italy,http://vocab.getty.edu/tgn/7000874;http://vocab.getty.edu/tgn/1000080,Q123;Q134
[Spain]:,Spain,http://vocab.getty.edu/tgn/1000095,Q129
[Spain] :,Spain,http://vocab.getty.edu/tgn/1000095,Q129
"[Spain or Italy],",Spain;Italy,http://vocab.getty.edu/tgn/1000095;http://vocab.getty.edu/tgn/1000080,Q129;Q134
