File,title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label,ds_qid
titles.csv,"""Abd al-Majid Khan""",,,,Abd al-Majid Khan,Q18416
titles.csv,"""A viro prudente...""",,,,A viro prudente,Q5968
titles.csv,"""His Holiness Khwajah Nizam al-Din""",,,,His Holiness Khwajah Nizam al-Din,Q18476
titles.csv,"""Lancelot Proper""",,,,Roman de Lancelot,Q39153
titles.csv,"""Mustophy Mamalack,"" a Portrait of an Official Sitting Holding a Document",,,,Portrait,Q38393
titles.csv,"""The Good Shepherd""",,,,The good shepherd,Q18514
titles.csv,(Hāz̲ā) Kitāb-i Sirāj al-munīr ... [etc.,هذا کتاب سراج المنىر,Sirāj al-munīr,سراج المنىر,Sirāj al-munīr,Q51768
titles.csv,[Bible].,,,,Bible,Q661
titles.csv,[Biblia sacra].,,,,Bible,Q661
titles.csv,[Book of hours (Use of Paris)].,,,,Book of hours,Q795
titles.csv,[Book of hours (Use of Rouen)].,,,,Book of hours,Q795
titles.csv,[Book of hours].,,,,Book of hours,Q795
titles.csv,[Breviary],,,,Breviary,Q657
titles.csv,[Enchiridion] (fragmentary).,,,,Enchiridion,Q1245
titles.csv,[Missal].,,,,Missal,Q662
titles.csv,[Psalter],,,,Psalter,Q660
titles.csv,[Saint] Cyril of Alexandria Super Evangelium Joannis (1508 Printed Book Leaf,,,,Commentary on John,Q20515
titles.csv,12 miniatures with Biblical Scenes,,,,Miniatures,Q20429
titles.csv,14 leaves from a mid-13th-century Bible,,Bible.,,Bible,Q661
titles.csv,"15th century breviary for feast of August 29,30, September 8",,,,Breviary,Q657
titles.csv,15th century calendar,,,,Calendar,Q1122
titles.csv,16 theological orations,,Orations,,Orations,Q38343
titles.csv,17th-century embroidered silk purse stabilized with fragments of medieval manuscript waste,,,,Silk purse with manuscript waste,Q16433
titles.csv,2 leaves from the Etymologiae,,Etymologiae,,Etymologiae,Q359
titles.csv,3a parte de los sumarios de la historia del mundo que escriuio El ho[n]orado Cauallero Lope garcia de Salazar estando preso enla su casa de S. Martin. En que contienen [crossed out: cinco] [added above: seis] libros de los veinte y cinco que compuso. [crossed out: Que acabo Christoual de Mieres. Año de 1492,,Bienandanzas e fortunas,,Bienandanzas e fortunas,Q48569
20240829-titles-princeton-marcxml-turkish-enriched-add.csv,3 Mayıs sene 313 tarihinde vukubulan Domeke Muharebe-yi meşhuresi bilhasssa Nizamiye Nuri Paşa livasının hareketi; bizzat edilen tecarib ve tedkikata nazaran,٣ مايس سنه ٣١٣ تاريخنده وقوعبولان دومكه محاربۀ مشهوروس بالحاصه نظاميه نورى پاشا لواسنك حركتى,Schlacht bei Dhomokos am 17. Mai 1897,,Schlacht bei Dhomokos am 17. Mai 1897,Q55228
20240829-titles-princeton-marcxml-turkish-enriched-add.csv,48 okkalık başbelâsı,٤٨ اوقه لق باش بلاسى,,,48 okkalık başbelâsı,Q55256
titles.csv,7 risālah /,7 رساله /,Selections,,Selections,Q12769
titles.csv,Abbadia San Salvatore property lien,,,,Property lien,Q8185
titles.csv,Abbreviated version of Adam of Eynsham's Magni vita sancti Hugonis,,,,Life of Hugo,Q39154
titles.csv,"Abbreviation of Peter of Tarentaise's commentary on Peter Lombard's Sententiarum, libri IV",,,,Commentary on Sentences,Q7516
titles.csv,Abbreviatio Summae Guillelmi Altissiodorensis /,,,,Summae Guillelmi Altissiodorensis,Q6053
titles.csv,"Abidatsuma kusharon ""Funbetsuzuimenbon dai go no ni"" /",阿毗達磨俱舍論「分別随民品第五之二」 /,Tripiṭaka.,,Tripiṭaka,Q12750
titles.csv,"A booke of the coppies; of letters, libells & outher inventions of men",,,,Miscellany,Q3673
titles.csv,"A booke of verses made by Sr John Harrington, Knight who dwelt at Bathe",,,,Verses,Q18551
titles.csv,Abregé cosmographique; divisé en deux livres,,,,Cartographic text,Q38344
titles.csv,"Abrégé des graces, et des merveilles opérées dans le monastère, des religieuses Ursulines de Magny",,,,Works of the Ursulines at Magny,Q17571
titles.csv,A breviatt concerning the memorable states and conditions of the Queenes Majesties honorable courts of records; kept in and about the Cittys of London and Westm[inster,,,,Summary of court records,Q39155
titles.csv,Abridged Latin translation of the Nichomachean ethics and some commentaries on Aristotle,,,,Nicomachean ethics,Q369
titles.csv,A brief discoverie of the estate of the kingdomes of Spayne and Portugall; viz. all the Kinges shipping ... all his forces ... all his cleargie and nobilitie ... all his provinces ... besides many other particulars of moment,,,,Property survey,Q8394
titles.csv,Abscondita naturae,,,,Abscondita naturae,Q39156
titles.csv,Ab urbe condita,,,,History of Rome,Q1324
titles.csv,Ab urbe condita libri,,,,History of Rome,Q1324
titles.csv,Abvāb al-jinān,ابواب الجنان,,,Abvāb al-jinān,Q39178
titles.csv,Abvāb al-jinān,ابواب الجنان,Abvāb al-jinān,ابواب الجنان,Abvāb al-jinān,Q39178
titles.csv,Abwāb al-jinān,ابواب الجنان,Abvāb al-jinān,ابواب الجنان,Abvāb al-jinān,Q39178
titles.csv,Abyāt Talkhīṣ al-Miftāḥ,,Talkhīṣ al-Miftāḥ,,Talkhīṣ al-Miftāḥ,Q12067
titles.csv,"Academic exercise (prolusion) on rising early, including an essay on the saying mane citus lectum fuge, and two poems, Surge, age surge, leves, iam convenit arcere somnes ; and Ignavus satrapam dedecet inclytum",,,,Academic texts,Q17598
titles.csv,A carrier to a kinge and three poems by Francis Quarles,,,,A carrier to a kinge and three poems,Q17586
titles.csv,A caveat for the quene,,,,Discussion of customs abuses,Q39157
titles.csv,Acciaiuoli family correspondence,,,,Family documents,Q6997
titles.csv,Account book,,,,Account book,Q1387
titles.csv,"Account book, 1503-1573, for the household of Sir Gilbert Talbot of Grafton, Worcestershire, England",,,,Account book,Q1387
titles.csv,"Account book, 1541-1595, kept by Humphrey Wellys, Staffordshire, England",,,,Account book,Q1387
titles.csv,"Account book, 1590-1596, for the Barlotta and Ferro families of Trapani, Sicily, Italy",,,,Account book,Q1387
titles.csv,"Account book, 1597-1637, recording the income of Jacques Paradis",,,,Account book,Q1387
titles.csv,Account book; Florence,,,,Account book,Q1387
titles.csv,Account book; fragment,,,,Account book,Q1387
titles.csv,Account book; of the Royal Arsenal of Iran,,,,Account book,Q1387
20240829-titles-princeton-marcxml-turkish-enriched-add.csv,Account book; of waqf income from certain properties in the Ottoman Empire,,,,Philology text,Q54407
titles.csv,Account book and record of transactions,,,,Account book,Q1387
titles.csv,Account book of Giuliano di Nofri del Moscho,,,,Account book,Q1387
titles.csv,Account book of Vincenzo Spada,,,,Account book,Q1387
titles.csv,Account books,,,,Account book,Q1387
titles.csv,Account document from England,,,,Document,Q8301
titles.csv,Account of payments,,,,Account book,Q1387
titles.csv,Accounts book,,,,Account book,Q1387
titles.csv,Accounts of William Pawlett in Dorset,,,,Account book,Q1387
titles.csv,Acerba,,,,Acerba,Q39161
titles.csv,A choice of emblemes,,,,A choice of emblemes,Q39162
titles.csv,"Acknowledgement by brother Wouter Everaerts of monastic house, in Flemish",,,,Acknowledgement,Q27527
titles.csv,"Acknowledgment of debts incurred by Louis, Duke of Orléans, and his company, to be paid by Jean, Duke of Berry",,,,Acknowledgment of debts,Q39158
titles.csv,"Acknowledgment of debts incurred by Louis, Duke of Orléans, and his company, to be paid by Jean, Duke of Berry",,,,Acknowledgment of debts,Q39158
titles.csv,Acknowledgment of loan,,,,Loan,Q8294
titles.csv,A collection of devotional tracts,,,,Devotional texts,Q5966
titles.csv,A collection of Italian lyric poetry; primarily Petrarch's Canzoniere,,,,Canzoniere,Q5956
titles.csv,A collection of mediaeval devotional works in Italian,,,,Devotional texts,Q5966
titles.csv,A collection of uncatalogued leaves,,,,Leaves,Q6031
titles.csv,Acta pronumptiationis tenute et licentie generalis pro Bernardo Alamanni de Medicis,,,,Acta pronumptiationis tenute et licentie generalis,Q7013
