material_as_recorded,authorized_label,structured_value,ds_qid_uri
?,undetermined,http://vocab.getty.edu/aat/300379012,
"""""",undetermined,http://vocab.getty.edu/aat/300379012,
"""Chancery 2° paper""",paper,http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q31
"""embroidered silk over parchment""",silk;parchment,http://vocab.getty.edu/aat/300243428;http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q34;https://catalog.digital-scriptorium.org/entity/Q33
"""fine vellum""",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"""on cloth""",cloth,http://vocab.getty.edu/aat/300162391,https://catalog.digital-scriptorium.org/entity/Q26528
"""paper, charts""",paper,http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q31
"""paper, color, illustrations""",paper,http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q31
"""paper, color coats of arms""",paper,http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q31
"""paper, colored illustrations""",paper,http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q31
"""paper, color illustrations, coats of arms""",paper,http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q31
"""paper, color illustrations, music""",paper,http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q31
"""paper, color illustrations""",paper,http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q31
"""paper, ill., charts""",paper,http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q31
"""paper, ill., maps, diagrams""",paper,http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q31
"""paper, ill., music""",paper,http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q31
"""paper, ill""",paper,http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q31
"""paper, illumination""",paper,http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q31
"""paper, illuminations, maps, charts""",paper,http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q31
"""paper, illuminations""",paper,http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q31
"""paper, illustrated""",paper,http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q31
"""paper, illustration""",paper,http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q31
"""paper, illustrations, illuminations""",paper,http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q31
"""paper, illustrations, music""",paper,http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q31
"""paper, illustrations ; 202 x 142 (135-155 x 67-85) mm. bound to 201 x 138 mm""",paper,http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q31
"""paper, illustrations""",paper,http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q31
"""paper, music""",paper,http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q31
"""paper, orn: initial with crude profile""",paper,http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q31
"""paper, parchment""",paper;parchment,http://vocab.getty.edu/aat/300014109;http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q31;https://catalog.digital-scriptorium.org/entity/Q33
"""paper, seals""",paper,http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q31
"""paper, slight pen-work ornament""",paper,http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q31
"""paper, tables""",paper,http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q31
"""paper ; 180 x 135 (123-135 x 86-105) mm""",paper,http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q31
"""paper ; 201 x 140 (160 x 95) mm. bound to 202 x 140 mm""",paper,http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q31
"""paper ; 205 x 145 (150-160 x 90) mm. bound to 204 x 152 mm""",paper,http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q31
"""paper ; 209 x 152 (163 x 115) mm. bound to 207 x 153 mm""",paper,http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q31
"""paper ; 210 x 152 (140 x 90) mm. bound to 208 x 160 mm""",paper,http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q31
"""paper ; 210 x 154 (150-170 x 92-120) mm bound to 214 x 155 mm""",paper,http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q31
"""paper ; 213 x 149 (138 x 60) mm. bound to 210 x 147 mm""",paper,http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q31
