title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label,standard_title
Assise of all manner of breade,,,,,
Basis grammatice,,,,,
Carta executoria de hidalguia a pedimiento,,,,,
Certain astrological and astronomical figures,,,,,
Commentaries on Aristotle and Porphyry,,,,,
Commentary on the Ephemerides of Regiomontanus,,,,,
De ludo schacchorum seu de moribus hominum et officiis nobilium ... etc,,,,,
John Elys deed,,,,,
La generacion de Adam,,,,,
Litterarum simulationis liber,,,,,
Manuscript leaf from a collection of papal decretals,,,,,
Manuscript leaf from expense records,,,,,
Medical miscellany,,,,,
Niccolò di Giovanni Machiavelli receipt,,,,,
Paludi Pontine,,,,,
"Pattern-book of bridles, bits and straps",,,,,
Questiones logicales ... etc,,,,,
Recueil de diverses recettes médécinales,,,,,
Roger Bigod deed,,,,,
Scientific miscellany,,,,,
Statutum habelle communum et terrarum Barge,,,,,
Trattato delle proportioni et proportionalità,,,,,
Ynstruction of the ephimeredes,,,,,
Z̲akhīrah-ʹi Khvārazmshāhī,ذخيره‌ خوارزم‌شاهى.,,,,
