title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label
A geometricall extraction for all affected to the mathematickes,,,,
Abbadia San Salvatore property lien,,,,
"Abbreviation of Peter of Tarentaise's commentary on Peter Lombard's Sententiarum, libri IV",,,,
Acknowledgment of loan,,,,
Act concerning the monastery of San Spirito,,,,
Act of exchange of property,,,,
Acta pronumptiationis tenute et licentie generalis pro Bernardo Alamanni de Medicis,,,,
"Ad invictissimum Maximilianum II, el. Romanum Imperatorem Augustum",,,,
Ad statutum positum sub rubrica de contractibus cum minoribus,,,,
"Additions to Statuta, constitutiones ac decreta ducalis provincae Friniani",,,,
Addresses and letters,,,,
Admission letter to the Third Order Secular of St. Francis,,,,
Agreement,,,,
Agreement pertaining to the rents and privileges of the Canons Regular of Urgel,,,,
Alessandro Piccolomini nomination,,,,
Alexander ...etc,,,,
Alfonso Petrucci property instructions,,,,
Alfonso Petrucci public instrument,,,,
"Altera apologia pro rege christianissimo contra caesarianos, in qua de causis belli inter regem et caesarem recens orti brevissime et verissime agitur",,,,
Alvise Mocenigo I notice,,,,
"An inventary of all and singular the goodes and chattells and debtes of John Ffox, late of Chacumbe in the countie of Northampton, gentleman deceased",,,,
André Blondet agreement,,,,
Anglezarke indenture,,,,
Anne de Montmorency nomination,,,,
Annotations,,,,
Antonio Maria d'Enea di Giacomo Todeschini Piccolomini transcript of emancipation,,,,
Apparatus super constitutionibus Concilii Viennensis,,,,
Appointment of attorney-at-law,,,,
Appointment of executor,,,,
Appointment of legal representatives,,,,
Appointment of mediator,,,,
Appointment of mediators,,,,
Archdiocese of Siena nomination,,,,
Ars epistolandi ... etc,,,,
Arte della lana legal decision,,,,
Baldinus Ceccharini legal claim,,,,
Balia grant,,,,
Balia of Siena grant,,,,
Balia of Siena privilege,,,,
Bartolomeo Chellini and Giovanfrancesco de' Carli act of exchange,,,,
Batista Piccolomini petition,,,,
Bernardo Carnesecchi legal decision,,,,
Bernardo di San Miniato petition for tax adjustment,,,,
"Beschreibung des Lanndtags welcher von dem durchleuchtigen hochgebornnen Fürsten und Herrn, Herrn Wilhelmen Pfaltzgrauen bei Rhein, Herzogen in Obern unnd Nidern Bairn auf den 27 Tag Novembers geen Münnchen aufgeschriben, auch daselbs gehallten unnd was damals auf irer f. ge. Proposition durch gemijne Stennd dazemal versambleter Lanndschafft von Tag zu Tag gehanndlet unnd enntlich beschlossen worden ist, anno 1583, volgt hochermellts unnsers ge. f. unnd Herrns genedig Erforderung an alle Lanndsessen auffganngen ... etc",,,,
Beschreibung dess Lanndtags der auff Absterben weillendt des durchleuchtigen hochgebornnen Fürstenn und Herrn Herzog Albrechts in Bayrn hochloblicher Gedechtnus von seiner f.g. Son dem auch durchleuchtigen hochgebornnen Fürsten und Herrn Hertzog Wilhelmen alss angehendem ainigem regierenden Lanndsfürsten auf den dritten Tag Decembris geen Minchen ausgeschriben,,,,
Bet Elohim,,,,
Bill of exchange dispute,,,,
Bill of sale of land,,,,
Bill of sale of vineyard land,,,,
Bishop Pietro Flores document,,,,
Book on the configuration of the orb,,,,
Boundary dispute,,,,
Cacciacomes family conditions for peace,,,,
Calendarium and ephemerides,,,,
Camera Apostolica document,,,,
Camera della Biccherna license,,,,
Canones vel operationes in operando quadrante,,,,
Capitolario de le parte et ordeni del officio di magistri signori tre savii areveder le raxon dela Illustrissima Signoria per conto del cancello de le 30 e 40 per cento,,,,
"Capitoli della Compagnia della gloriosa Vergine Maria, et di Santo Egidio advocati et protectori delli huominj del Castello di Romena, nuovamente fatti et ordinati per gli prudenti huomini, cioè Francesco di San Giovanni, priore di dicta Compagnia, Bidoro d'Antonio, Camarlingo in essa ... etc. /",,,,
"Capitoli, esentioni, et privilegii delli huomini et commune di Montedoglio ... dalli gran duchi di Toscana confirmati",,,,
Capitula Mirabelle,,,,
Cardinal Philippus record of sale,,,,
Cardinal Pietro Lodovico Borgia license,,,,
Carlo de Piccolomini land petitions,,,,
Carmine alla Beata Vergine Maria,,,,
Cartas nupciales,,,,
Causae juridicae,,,,
Charles VIII decree,,,,
Charter granting a dowry to his daughter,,,,
Charter granting seigneurial rights to Raimundus Berengarius and his wife Dulcia,,,,
Chiarini correspondence,,,,
Chrestomathy of Latin authors,,,,
Chronica de la edificatione et destructione del Cassaro Anconitano...etc. /,,,,
Città di Castello authorization of sale,,,,
Collectanea opusculorum eruditorum et historicorum,,,,
Collection of French poetry,,,,
Collection of administrative documents,,,,
Collection of alphabets and encoded correspondence,,,,
Collection of documents,,,,
Collection of documents concerning inheritance,,,,
