row_index,workflow_history,subject_as_recorded,source_authority_uri,structured_data
14,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.568Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.665Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.964Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.318Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:50.999Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.944Z","Beeleye, John de.",,
15,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.568Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.665Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.964Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.318Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:50.999Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.944Z","Beeleye, Margery de.",,
16,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.568Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.665Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.964Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.318Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:50.999Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.944Z","Bokenham, William.",,
27,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.568Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.666Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.966Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.319Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.944Z","Costyn, John.--(Dyer)",,
28,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.568Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.666Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.967Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.319Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.944Z","Cuenca, Alonso Gaytan de.",,
29,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.568Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.666Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.967Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.319Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.944Z","Cuenca, Francisco Gaytan de.",,
30,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.568Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.666Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.967Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.319Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.944Z","Cuenca, Juan Gaytan de.",,
31,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.569Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.666Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.967Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.319Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.944Z",Dhūrtasvāmī.--Āpastambaśrautasūtra dhūtasvāmibhāṣya.,,
33,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.569Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.666Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.967Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.319Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.944Z","Dulaert, Johannes.",,
34,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.569Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.666Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.967Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.319Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.944Z","Ede, William,--witness.",,
35,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.569Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.666Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.967Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.320Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.944Z","Elys, John.",,
