name_as_recorded,role,name_agr,source_authority_uri,authorized_name,instance_of,structured_value
"""1756 Ex libris Presbiteri Joseph Marie Sormani"" (inscription on flyleaf ); H. C. (Harley) Drayton (1901-1966), bought at Sotheby’s, 29 January 1951, lot 13; his sale, Sotheby’s, 12 December 1967, lot 63; re-sold at Christie’s, 28 June 1972, lot 8; Ruth E. Adomeit (1910-1996), bequeathed by her to the Lilly Library.",former owner,,,,,
"""Anno Domini 1548 Mensis Julio"" (f. 1r); ""Sold by Thomas Baker, 1, Soho Square, London"" (label on front pastedown); ""Cranmere Kenrick"" (f. iir)",former owner,,,,,
"""Iste liber est domini philippi alleap(?)"", 15th century (f. 1r, lower margin); ""817"", 19th(?) century pencil (f. 1r, upper margin); purchased from Boesen in 1959.",former owner,,,,,
"""Philippi Monti,"" f. 1; Cardinal Domenico Passionei (1682-1761); Sidney Graves Hamilton (1855-1916); his sale, Sotheby's (25 July 1917, lot 10) to Dobell. Date of acquisition by Bancroft Library UC Berkeley unrecorded. Formerly t2MS BX885 B6.",former owner,,,,,
"A member of the Bernardi family of Florence, with their arms on fol. 1r (Rietstap 1884, I, p. 179), flanked by the initials ‘C’ and ‘B’; L. S. Olschki, Bulletin mensuel 51 (January 1905), no. 1291; Ellis of Bond Street, their cat. 1919, at £63; Ernst F. Detterer (1888-1947); bought from Detterer’s estate in 1948 by George A. Poole, and acquired by the Lilly Library with the Poole Collection in 1958.",former owner,,,,,
Abbot von Heselwang,former owner,,,,,
"According to a sixteenth-century Latin poem formerly pasted inside the manuscript’s upper cover, the volume was transferred in 1504 from the Benedictine abbey of St. Peter in Salzburg, to the Cistercian abbey of Raitenhaslach, Bavaria (founded 1143, suppressed in 1803); the Benedictine abbey of Seitenstetten, Lower Austria (founded 1112, still functioning); sold by the monks in about 1926, probably to Jacques Rosenthal of Munich, and taken apart, the leaves with miniatures being dispersed by Maggs; this leaf, Maggs cat. 512 (1928), no. 291; C. L. Ricketts; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
Acquired before February 1992 and probably in library for many decades.,former owner,,,,,
"Acquired by Bancroft Library UC Berkeley from J. Rosenthal (1936). Previous call numbers Ac 533, 2MS HF5616 G4H5.",former owner,,,,,
"Acquired by Bancroft Library UC Berkeley with the library of C. K. Ogden, 1957. Previous call number 2MS DA358 S55.",former owner,,,,,
"Acquired by Karen Gould (1946-2012) from Goodspeed’s Bookshop, Boston, July 6, 1981; gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2012 in his wife's memory.",former owner,,,,,
"Acquired by Karen Gould (1946-2012) from Phillip Pirages, possibly his catalogue 24, November 1987; gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2012 in his wife's memory.",former owner,,,,,
Acquired by Karen Gould Fund. Gift of Lewis Gould to the Nelson-Atkins Museum of Art in 2014 in his wife's memory.,former owner,,,,,
"Acquired by Linda Ehrsam Voigts from Bernard M. Rosenthal in 1975, and given by her to the Karen Gould Collection of the Nelson-Atkins Museum of Art in 2012.",former owner,,,,,
Acquired by Linda Ehrsam Voigts from Philip Pirages and given by her to the Karen Gould Collection of the Nelson-Atkins Museum of Art in 2012.,former owner,,,,,
"Acquired by Maggs from Henry White (1902, n. 2238); acquired James K. Moffitt from Davis and Orioli (cat. XXXIX, n. 9); bequest of Moffitt to the Bancroft Library, UC Berkeley (1956). Previous call numbers MAR 34, 2MS PA6801 A106 1400.",former owner,,,,,
Acquired by the Bancroft Library UC Berkeley (1966). Previous call number t2MS uncat 1966 11.35.,former owner,,,,,
Acquired by the Bancroft Library UC Berkeley from Bernard Rosenthal (1966). Previous call number 2MS uncat 1966 11.28.,former owner,,,,,
Acquired by the Bancroft Library UC Berkeley from Bernard Rosenthal (1966). Previous call number 2MS uncat 1966 11.31.,former owner,,,,,
Acquired by the Bancroft Library UC Berkeley from Bernard Rosenthal (1966). Previous call number 2MS uncat 1966 11.34.,former owner,,,,,
Acquired by the Bancroft Library UC Berkeley from Bernard Rosenthal (1966). Previous call number t2MS uncat 1966 11.36.,former owner,,,,,
Acquired by the Bancroft Library UC Berkeley from Bernard Rosenthal 1967 (?). Previous call number 2MS PA8450 A68 parts 1-3.,former owner,,,,,
Acquired by the Bancroft Library UC Berkeley from Bernard Rosenthal ca. 1966. Previous call number 2MS uncat 1966 11.37.,former owner,,,,,
Acquired by the Bancroft Library UC Berkeley from Bredford (1994). Previous call number f2MS PA6456 A4 1380z.,former owner,,,,,
"Acquired by the Bancroft Library UC Berkeley from Quaritch as part of the Harmsworth collection, lot 4652. Previous call number 2MS DP178 B75.",former owner,,,,,
"Acquired by the Bancroft Library UC Berkeley from Sotheby's (16 July 1966, lot 250). Previous call number t2MS BS2833 L15.",former owner,,,,,
"Acquired by the Bancroft Library UC Berkeley from Sotheby's (21 June 1994, lot 93).",former owner,,,,,
Acquired by the Bancroft Library UC Berkeley from William Salloch (1972). Previous call number 2MS PQ4299 C25.,former owner,,,,,
"Acquired from Baynes ca. 1824 by Sir Thomas Phillipps, his n. 2262; E. Crawshaw (1903); Hancock (1920); James Westfall Thompson (1869-1941); Bancroft Library UC Berkeley (1942). Previous call numbers MAR 4, 2MS BX890 L4.",former owner,,,,,
Acquired from Bernard Rosenthal in 1966 by the Bancroft Library UC Berkeley. Previous call number 2MS uncat 1966 11.33.,former owner,,,,,
"Acquired from Dr. Erich Junkelmann of Munich, f. 1 in 1930, and f. 2 ca. 1930. Earlier (pre-1956?) call number: Cabinet 28, Folder 3.",former owner,,,,,
"Acquired from Thorpe by Sir Thomas Phillipps (1792-1872), his n. 8964; sold at Sotheby's (26 June 1973, lot 2209); acquired by the Bancroft Library UC Berkeley from Hoffmann and Freeman (1974). Previous call number f2MS BX2906 R65C7.",former owner,,,,,
"Acquired from Thorpe in 1824 by Sir Thomas Phillipps, his n. 2703; sold at Sotheby's (27 April 1903, lot 144); acquired by the Bancroft Library UC Berkeley from Sotheby's (11 July 1966, lot 246). Previous call number 2MS BS2632 L15.",former owner,,,,,
Acquired in 1989 from P. Pirages.,former owner,,,,,
Acquired in 1990 from P. Pirages.,former owner,,,,,
Acquired in 1991 from P. Pirages.,former owner,,,,,
Acquired in 2000 from H.P. Kraus.,former owner,,,,,
"Acquired prior to 1952, probably from Edward L. Stevenson (1858-1944).",former owner,,,,,
Added notes and leaves suggest use by a Franciscan convent; acquired by the Bancroft Library UC Berkeley from Bernard Rosenthal (1991). Previous call number ff2MS M2150 1500z.,former owner,,,,,
"Aditya Bahadur Dinha, Mahārāja,",former owner.,,,,,
"Aḥmad al-Mudarris,",former owner.,احمد المدرس،,,,,
"Aḥmad ibn Mubārak Luṭf Allāh,",former owner.,احمد بن مبارك لطف الله،,,,,
"Akhaṇḍānanda, Muni.",author,,,,,
"Akhtarī, Muṣṭafá ibn Aḥmad, -1560 or 1561.",author,اختري، مصطفى بن احمد.,,,,
"Alāʼīyawī, Maḥmūd ibn ʻAbd al-Raḥmān.",author,,,,,
"Alfred Morrison (1821-1897), his by 1882; his sale, Sotheby’s, 10 December 1917, lot 500; C. L. Ricketts, bought from P. M. Barnard, cat. 122 (1921), no. 245; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
"Almost certainly acquired in fall, 1930, from Dr. Erich Junkelmann of Munich. Earlier (pre-1956?) call number: Cabinet 28, Folder 3.",former owner,,,,,
"Almost certainly from the Cistercian abbey of Pontigny, and probably from the Volumine uno, Decreta Gratiani no. 153 in the late twelfth century catalogue of Pontigny, no. 100 in the early seventeenth-century catalogue, no. 235 in the catalogue of 1778, no. 7 in the catalogue of 1791, and finally no. 73 in the list prepared after the sequestration of Pontigny at the French Revolution, described there as in-folio atlantico, elegans et completus dismembered probably in Auxerre in the early nineteenth century; John William Bradley (1830-1916), who gave it to C. L. Ricketts in 1913; acquired by the Lilly Library with the Ricketts Collection in 1961.",former owner,,,,,
"Andreas Weiss (1590); James P. R. Lyell; bequest of James K. Moffitt to the Bancroft Library UC Berkeley (1956). Previous call numbers MAR 37, f2MS B765 A4C6.",former owner,,,,,
